,csiE
Cr_1,0.0049284332291229535
Cr_2,0.01344346127498513
Cr_3,0.024492101017709596
Cr_4,0.03768684971811406
Cr_5,0.04742610524634593
Cr_6,0.05421536481582247
Fe_1,0.009443582697836768
Fe_2,0.0007665533263973102
Fe_3,-0.030435250374140643
Fe_4,-0.07598989660012663
Fe_5,-0.1249483762480645
Fe_6,-0.17198466416376448
Cd_1,-4.661091968174359e-05
Cd_2,0.0033908251285087354
Cd_3,0.011296726953823702
Cd_4,0.026419214649347943
Cd_5,0.0350536829428471
Cd_6,0.03984762319407978
Zn_1,-0.04165109855051928
Zn_2,-0.06977453616246862
Zn_3,-0.11709701294364144
Zn_4,-0.15706183635379628
Zn_5,-0.188740821650666
Zn_6,-0.2150451865438525
Cu_1,8.801624221024289e-05
Cu_2,0.0016659728743977967
Cu_3,0.001902057826587558
Cu_4,0.007208902444623217
Cu_5,0.005447981410442652
Cu_6,0.010962683272649069
Pb_1,0.004438719340254082
Pb_2,0.010560589386817091
Pb_3,0.012307647445944949
Pb_4,0.009945475482229722
Pb_5,0.011957246174396606
Pb_6,0.010321430127305423
