,A,rcsB
R2,,0.001414800453820253
xmin,,8.220096573
xmid,,
xmax,,9.9003826411
ystart,,0.809417695992579
yend,,3.283853054765091
control__wt_glc__1,0.0556201219,9.156351758
control__wt_glc__2,-0.0556201219,8.9907621817
fur__wt_dpd__1,3.9950506397,9.2404226241
fur__wt_dpd__2,4.6368191989,9.3213026896
fur__wt_fe__1,-0.6310423727000001,9.0537539743
fur__wt_fe__2,0.3433936502,9.160825878
fur__delfur_dpd__1,5.8404804846000005,9.081236254
fur__delfur_dpd__2,6.6052064308,9.2454819913
fur__delfur_fe2__1,3.5377638901,9.2221051833
fur__delfur_fe2__2,3.263140533,9.1957474599
acid__wt_ph5__1,0.7371335854000001,9.2032059392
acid__wt_ph5__2,0.5946213677000001,9.2251697465
acid__delgadx_ph5__1,-0.08813058730000001,9.1930237255
acid__delgadx_ph5__2,0.5247302737,9.3848956492
acid__delgadw_ph5__1,0.3763388044,9.2492774648
acid__delgadw_ph5__2,0.2359535131,9.1400180989
acid__delgade_ph5__1,0.4862109565,9.1080462735
acid__delgade_ph5__2,0.42470119840000004,9.1033933898
oxidative__wt_pq__1,2.2051413474,9.2661337478
oxidative__wt_pq__2,2.8499014138,9.2137331085
oxidative__deloxyr_pq__1,0.218519394,9.6072120235
oxidative__deloxyr_pq__2,-0.2373093129,9.661691765
oxidative__delsoxr_pq__1,9.437264493,9.2006408687
oxidative__delsoxr_pq__2,9.8702867065,9.2010082115
oxidative__delsoxs_pq__1,3.0818734403,9.3724972352
oxidative__delsoxs_pq__2,3.7168327636000003,9.301396419
nac_ntrc__wt_csn__1,7.7355885015,9.0863684164
nac_ntrc__wt_csn__2,7.0496393783,9.0453283563
nac_ntrc__wt_cytd__1,1.7300351215,9.1087582551
nac_ntrc__wt_cytd__2,2.4314798868,9.126123819
nac_ntrc__wt_gln__1,2.1368432128,9.1679086058
nac_ntrc__wt_gln__2,2.0514103826,9.0594564171
nac_ntrc__bw_delnac_csn__1,4.8018840608,9.1233583837
nac_ntrc__bw_delnac_csn__2,2.9228603206,8.9813800391
nac_ntrc__bw_delnac_cytd__1,0.9331286469000001,9.1783745857
nac_ntrc__bw_delnac_cytd__2,0.8311927941,9.0252309599
nac_ntrc__bw_delnac_gln__1,-0.6671881627,9.244832464
nac_ntrc__bw_delnac_gln__2,0.2600348673,9.1887025622
nac_ntrc__bw_delnac_nh4__1,-0.410270348,9.1845768514
nac_ntrc__bw_delnac_nh4__2,-1.1328930224,9.0506922719
misc__wt_no_te__1,1.9002915233,9.1134207312
misc__wt_no_te__2,1.8757787584,9.0094478054
misc__bw_delcbl__1,0.14596134530000002,9.1256897493
misc__bw_delcbl__2,0.19684609720000001,9.2568077869
misc__bw_delfabr__1,0.983693758,9.0267117895
misc__bw_delfabr__2,0.9433029917,9.0612334761
misc__bw_delfadr__1,1.2217878227,9.1571882398
misc__bw_delfadr__2,0.15748054320000002,9.0574710689
misc__nitr_031__1,2.9545109154,9.1842229056
omics__wt_glu__1,0.5433057363,9.5000783613
omics__wt_glu__2,0.2010053427,9.4370592626
omics__wt_gly__1,0.6809395578,9.1917977375
omics__wt_gly__2,1.3599341111,9.1960826878
omics__wt_thr__1,9.2810152527,9.4360777257
omics__wt_thr__2,7.4736864476000004,9.5268702949
omics__bw_ac__1,-0.42302886570000003,9.22797362
omics__bw_ac__2,0.0190614412,9.1455164098
omics__bw_fum__1,-0.8903889892,9.1533759019
omics__bw_fum__2,-0.4946300228,9.1302590599
omics__bw_glc__1,-0.2890587128,9.44804797
omics__bw_glc__2,-0.9265073308,9.3821725635
omics__bw_pyr__1,1.0810433916,9.3767369687
