,yjbE
Cr_1,0.00642653689325925
Cr_2,0.009441559281706596
Cr_3,0.010970795892634921
Cr_4,0.015113086771561304
Cr_5,0.013533449196455705
Cr_6,0.005764892749244125
Fe_1,-0.011840436491719621
Fe_2,-0.02678167935223434
Fe_3,-0.04569307457863327
Fe_4,-0.06573238315378531
Fe_5,-0.07412537694886707
Fe_6,-0.08371288852337408
Cd_1,0.0013845553356682265
Cd_2,-0.0019509108472594652
Cd_3,-0.004833137559212528
Cd_4,-0.009034728284583305
Cd_5,-0.016472055248022564
Cd_6,-0.013175333497541259
Zn_1,0.002771320872968875
Zn_2,0.0023332073249549986
Zn_3,-0.0002604197077935826
Zn_4,-0.0025170160951189405
Zn_5,0.000523280543298008
Zn_6,-0.0028629345897391873
Cu_1,0.007235237419519748
Cu_2,0.015358343988626419
Cu_3,0.02373232220726736
Cu_4,0.027434053814754673
Cu_5,0.028858109285527987
Cu_6,0.027981663874713014
Pb_1,0.00868558486955748
Pb_2,0.0240882222121308
Pb_3,0.03332028926663865
Pb_4,0.04131699004630048
Pb_5,0.046730551455076035
Pb_6,0.05157068337179782
