,yfiC
Cr_1,-0.0021734931062198965
Cr_2,-0.00012689668671422578
Cr_3,0.004374267194241812
Cr_4,0.010102720616883202
Cr_5,0.013355066047504941
Cr_6,0.01529378389729651
Fe_1,-0.004003773221672351
Fe_2,-0.0051243998151876795
Fe_3,0.0010673638845545325
Fe_4,0.0008917864511729453
Fe_5,0.003363480094721757
Fe_6,0.010750095023435224
Cd_1,0.004523121784852092
Cd_2,0.01083427796261723
Cd_3,0.019792709625491338
Cd_4,0.02820565616811744
Cd_5,0.030488112976126924
Cd_6,0.037610832343857134
Zn_1,-0.0009321768301829432
Zn_2,-0.00043822184252453807
Zn_3,0.00386816286492354
Zn_4,0.012085486023293221
Zn_5,0.017793951401718928
Zn_6,0.022874334821451226
Cu_1,0.002035630151563945
Cu_2,0.004642212607370638
Cu_3,0.006457061208912839
Cu_4,0.006105909783451345
Cu_5,0.010311487780198612
Cu_6,0.010424623425604252
Pb_1,0.006888536937067942
Pb_2,0.01224122624167133
Pb_3,0.02221775207614014
Pb_4,0.02817866532330818
Pb_5,0.035491584145498425
Pb_6,0.04560748521425002
