,A,CecR
R2,,0.35744539051564483
xmin,,-5.599755133
xmid,,-2.1139548256898935
xmax,,3.229508002
ystart,,-4.0450921022754445
yend,,5.391465215966606
control__wt_glc__1,-0.2158774702,0.08679442600000001
control__wt_glc__2,0.2158774702,-0.08679442600000001
fur__wt_dpd__1,1.8001603596,0.165314767
fur__wt_dpd__2,1.7028365048,0.313615074
fur__wt_fe__1,-0.301914836,-0.40243155
fur__wt_fe__2,-0.7851675493,-0.27897661100000004
fur__delfur_dpd__1,2.0409582084,0.2987802
fur__delfur_dpd__2,1.2883230814,0.070663011
fur__delfur_fe2__1,-0.1694627159,-0.028817246
fur__delfur_fe2__2,0.021729101900000002,-0.029663028
acid__wt_ph5__1,0.7790224853000001,0.328539605
acid__wt_ph5__2,0.7499000065,0.0042716410000000005
acid__delgadx_ph5__2,0.8085440712,-0.05650353
acid__delgadw_ph5__1,0.9602635733,0.08347399600000001
acid__delgadw_ph5__2,0.7260520961,0.075333149
acid__delgade_ph5__1,1.3039919914,0.083638062
acid__delgade_ph5__2,0.9580449125,0.149991977
oxidative__wt_pq__1,4.6649750343,0.699908218
oxidative__wt_pq__2,4.791645914,0.637866801
oxidative__deloxyr_pq__1,3.1117602351,0.99355656
oxidative__deloxyr_pq__2,3.3003631651,0.8777506690000001
oxidative__delsoxr_pq__1,3.4105074007000002,0.39587215600000003
oxidative__delsoxr_pq__2,3.7630356326000003,0.5063794970000001
oxidative__delsoxs_pq__1,4.7364309914,1.03862652
oxidative__delsoxs_pq__2,4.4942727976,0.9957915890000001
nac_ntrc__wt_csn__1,1.3620850259,0.22620450500000003
nac_ntrc__wt_csn__2,1.4452372472000001,0.215592318
nac_ntrc__wt_cytd__1,0.3805914842,0.234210257
nac_ntrc__wt_cytd__2,1.019109438,0.20218385200000002
nac_ntrc__wt_gln__1,1.5831497423,0.583366526
nac_ntrc__wt_gln__2,1.4470898211,0.523264556
nac_ntrc__bw_delnac_csn__1,1.1426759342,0.040982344000000004
nac_ntrc__bw_delnac_csn__2,1.6756187103,0.24618598600000002
nac_ntrc__bw_delnac_cytd__1,1.1288922773,0.29186991900000003
nac_ntrc__bw_delnac_cytd__2,1.2947469802,0.077069648
nac_ntrc__bw_delnac_gln__1,1.557522225,0.158902711
nac_ntrc__bw_delnac_gln__2,2.0416229206,0.43139954100000005
nac_ntrc__bw_delnac_nh4__1,-1.3059346629,-0.151182629
nac_ntrc__bw_delnac_nh4__2,-0.8910013606,-0.5544946430000001
misc__wt_no_te__1,2.5375808993,0.031082968000000002
misc__wt_no_te__2,0.9950020012,-0.08057030400000001
misc__bw_delcbl__1,-0.5219697337,-0.31970040800000005
misc__bw_delcbl__2,-0.2983537493,-0.326714304
misc__bw_delfabr__1,-1.0251386048,-0.560839145
misc__bw_delfabr__2,-1.018433163,-0.579023375
misc__bw_delfadr__1,-0.32354257680000004,-0.20424530100000002
misc__bw_delfadr__2,-0.6274758187,0.02155559
misc__nitr_031__1,1.3933420061000001,0.199732878
omics__wt_glu__1,-1.0888997876,1.176974623
omics__wt_glu__2,-0.7356345564,1.163069865
omics__wt_gly__1,-0.4924191014,0.7492058330000001
omics__wt_gly__2,-0.0134478128,0.522105813
omics__wt_thr__1,-0.9692635678,1.9695597020000002
omics__wt_thr__2,-0.672951021,2.002537387
omics__bw_ac__1,0.5158559682,0.145511781
omics__bw_ac__2,-0.18809518800000002,0.159299924
omics__bw_fum__1,-1.6368160323,0.129619067
omics__bw_fum__2,-2.2380995562,0.0006910180000000001
omics__bw_glc__1,-1.4052850318,0.432544199
omics__bw_glc__2,-1.3917106596,0.42244519500000005
omics__bw_pyr__1,-0.7261312302,0.228556382
omics__bw_pyr__2,-0.38287004500000005,-0.39149092500000005
ompr__wt_nacl__1,6.4779248082,2.707954987
ompr__wt_nacl__2,6.6385442836,2.545544155
ompr__bw_delompr_nacl__1,7.3004074012,3.229508002
ompr__bw_delompr_nacl__2,6.8767607907,3.161700236
minspan__wt_ade__1,-2.3577692638,-0.239092567
minspan__wt_glc__2,0.5233150722000001,-0.48751883
minspan__wt_glc__3,-0.2383926385,-0.116571345
minspan__wt_glc__4,-0.2595708784,-0.395760602
minspan__wt_glc_anaero__1,0.8801918943,0.05155404500000001
minspan__wt_glc_anaero__2,1.7729539761000002,-0.32199713300000005
minspan__wt_trp__1,0.7923579205,-0.234989199
minspan__bw_delcra_glc__2,-0.1834918887,0.484068506
minspan__bw_delcra_trp__1,1.6498655798000001,0.520786646
minspan__bw_delmntr__1,0.2710557817,0.222403539
minspan__bw_delnac_ade__1,-0.0298722828,-0.883743311
minspan__bw_delnac_glc__1,-0.3986198755,-0.368182597
cra_crp__wt_ac__1,-0.1229003901,0.523874834
cra_crp__wt_ac__2,0.5581240244,0.8011174980000001
cra_crp__wt_fru__1,-0.6057691317,1.064141323
cra_crp__wt_fru__2,-0.44964296060000003,1.065368152
cra_crp__delcra_ac__1,0.7644992335,-0.76132063
cra_crp__delcra_ac__2,0.2310889382,-0.552919526
cra_crp__delcra_fru__1,0.6331725548,-0.142799955
cra_crp__delcra_fru__2,0.6732090775,-0.23698305700000002
cra_crp__delcra_glc__1,0.2376633495,-0.69568537
cra_crp__delcra_glc__2,0.5776103971000001,-0.39156000700000004
rpoB__wt_031__1,-0.20110317500000002,0.26453313500000003
rpoB__wt_044__1,-0.0386450745,0.12053543200000001
rpoB__wt_lb__1,2.1138279572,0.185256942
rpoB__wt_lb__2,2.6811850591,0.237861027
rpoB__rpoBE546V_031__1,-0.606024977,0.012429056
rpoB__rpoBE546V_044__1,-0.6605224477,0.24959778400000002
rpoB__rpoBE546V_lb__1,0.6958405472,0.321064018
rpoB__rpoBE546V_lb__2,0.3450081103,0.327997668
