,ynfK
Cr_1,0.0035955387393671397
Cr_2,0.005284684593607178
Cr_3,0.014579337552509262
Cr_4,0.03215013127322303
Cr_5,0.04550480152827247
Cr_6,0.038031075302422536
Fe_1,-0.040200791000440335
Fe_2,-0.10010452250675918
Fe_3,-0.14022821017273418
Fe_4,-0.17806535528315215
Fe_5,-0.2002847885581772
Fe_6,-0.20068541076333926
Cd_1,0.0007484329944482162
Cd_2,0.0044961819889288894
Cd_3,0.002420813120892046
Cd_4,0.0016474227787950234
Cd_5,-0.0009564857423788707
Cd_6,0.003829970356955904
Zn_1,-0.014719298239670428
Zn_2,-0.03256083515897501
Zn_3,-0.03272028198876161
Zn_4,-0.018700727073691727
Zn_5,-0.01760823643267027
Zn_6,-0.012776354646874865
Cu_1,0.002031124648772017
Cu_2,0.0049919110626337575
Cu_3,0.014219793445569276
Cu_4,0.020801947103226137
Cu_5,0.030196892995299537
Cu_6,0.04205101293720828
Pb_1,0.005293634704011548
Pb_2,0.01674871998365308
Pb_3,0.025190998753324208
Pb_4,0.037839912653395626
Pb_5,0.042142253953756786
Pb_6,0.050857490563687664
