,yeeJ
Cr_1,-0.007168182965834955
Cr_2,-0.021988392815943097
Cr_3,-0.028529339725685162
Cr_4,-0.036743445252049714
Cr_5,-0.04142781526056703
Cr_6,-0.0413259904737712
Fe_1,-0.031438999727179236
Fe_2,-0.03141289196730138
Fe_3,-0.03251143591245946
Fe_4,-0.03834417541265518
Fe_5,-0.04298740548161821
Fe_6,-0.050555907442154574
Cd_1,0.00620890879386647
Cd_2,0.010592286872430405
Cd_3,0.01992703908002965
Cd_4,0.04432553979103264
Cd_5,0.06172840563046737
Cd_6,0.09027161819065137
Zn_1,0.005586333070964814
Zn_2,-0.00019288312154733793
Zn_3,-0.003331349006070545
Zn_4,0.006679368301038931
Zn_5,-0.0038008981408960384
Zn_6,-0.029992485219922305
Cu_1,0.007141425984041383
Cu_2,0.016290688563711558
Cu_3,0.0272811264510213
Cu_4,0.029836084459624632
Cu_5,0.036762746444197664
Cu_6,0.0445942844330623
Pb_1,-0.002104012854056429
Pb_2,0.00047880005870267264
Pb_3,0.0023744790063799925
Pb_4,-0.0008968188188035008
Pb_5,0.0034139795146934807
Pb_6,0.002274776484177322
