,A,Fnr,NarP,NarL
R2,,0.28038897579044386,0.20737629667936752,0.016038507379301126
xmin,,-2.574525767,-2.329487003,-3.0560450505
xmid,,,-0.6015562557117292,0.49580847656451565
xmax,,2.044364118,2.344127604,1.2829432885
ystart,,11.618558637405608,1.1777957297697494,3.5344997710886465
yend,,-7.619918637298952,10.290799743474718,8.869719842411685
ecoli_00001,0.2066504255,-0.052632,0.013805372000000002,0.0046058085
ecoli_00002,-0.2066504255,0.052632,-0.013805372000000002,-0.0046058085
ecoli_00003,0.1053371053,-0.22332754900000001,-0.676418089,0.7958407655
ecoli_00004,0.3306941785,-0.207263208,-0.8038825890000001,0.7809120795000001
ecoli_00005,4.8139791982,-0.5591243690000001,-0.052915799000000006,0.0860204375
ecoli_00006,4.6658629352,-0.518033721,-0.14241751800000002,0.1956717155
ecoli_00007,-0.5059740757,-0.358693874,-0.833438137,0.6368233545
ecoli_00008,-0.5651719342,-0.349967695,-0.9859630330000001,0.6053562415
ecoli_00009,-0.0190546433,-0.27282969900000004,-0.47272605500000003,0.22929593850000002
ecoli_00010,-0.15714916140000001,-0.26540585,-0.42645699200000003,0.3102063565
ecoli_00011,2.5064536601,-0.524846931,0.24456669500000003,0.7226422635
ecoli_00012,2.5297772632999997,-0.539491976,0.22695780200000001,0.6039874685000001
ecoli_00014,2.9377555318,-0.480809823,0.147368572,0.7064404205
ecoli_00015,3.0918196585,-0.5694477410000001,0.422711899,0.6671839155
ecoli_00016,2.9415758284,-0.545782447,0.057475849,0.6889960855
ecoli_00017,2.5168668994,-0.49659595500000003,0.250740611,0.4548568885
ecoli_00018,2.7064033039,-0.5235996460000001,0.353381965,0.44526442450000003
ecoli_00019,0.2206904475,-0.277983604,0.28711822,1.1253454755
ecoli_00020,-0.2068572678,-0.403604734,-0.24608537100000002,1.2190429045
ecoli_00021,1.7711371039000001,-0.117314808,0.5344758740000001,1.0256380375
ecoli_00022,0.8071924345,-0.052995724,0.303420835,1.1128686855
ecoli_00023,-0.0056083007,-0.46957113400000006,-0.45568873200000004,0.8344043915
ecoli_00024,-0.1700031146,-0.475574296,-0.5965014150000001,0.8354505565
ecoli_00025,-0.6030381502000001,-0.138763319,-0.258712771,1.2055026185
ecoli_00026,0.261263366,-0.142115652,-0.15700927,1.1488311055
ecoli_00027,0.9175722896,-0.158711963,0.054424321000000005,-0.0734486025
ecoli_00028,0.9158214945,-0.20401648900000002,0.08937470800000001,-0.1056086415
ecoli_00029,1.8762085394999999,-0.22330206500000002,-0.36529166900000004,0.0931236545
ecoli_00030,1.4453236096,-0.148782092,-0.37749791800000004,0.11562003450000001
ecoli_00031,1.7434685775,-0.133928986,0.152274782,0.3107882125
ecoli_00032,2.1245240098,-0.07252378100000001,0.166839925,0.4495536755
ecoli_00033,1.2498867641,-0.17298681200000002,0.21849499700000002,0.24024664550000002
ecoli_00034,1.6661892218,-0.207335707,0.00957469,0.1500497735
ecoli_00035,2.5482863205,-0.39908493100000003,0.660806074,0.4465692275
ecoli_00036,2.3957604488,-0.458070531,0.8232493740000001,0.46664448950000004
ecoli_00037,1.7953369114000002,-0.387752121,0.479623705,0.6344954095
ecoli_00038,1.1770125136,-0.318289392,0.24993073300000002,0.6517965395
ecoli_00039,3.6736382343000002,-0.40746298400000003,0.49866344300000004,0.0492521515
ecoli_00040,3.6433791884,-0.431925496,0.563756157,0.0915861905
ecoli_00041,-0.2465379114,-0.574722853,-0.686005806,0.8055963485000001
ecoli_00042,0.4340184663,-0.434576408,-0.39412595300000003,0.7341074955
ecoli_00043,2.4234949117,-0.544797561,0.536592902,0.0352814555
ecoli_00044,1.8894985145,-0.510121476,0.431385196,0.0774423845
ecoli_00045,2.2279491618,-0.54688357,0.546491711,-0.1645777105
ecoli_00046,3.1451318643,-0.5969020620000001,0.5413782020000001,-0.3014689525
ecoli_00047,0.8184746372,-0.631839469,0.3743767,0.022761246500000002
ecoli_00048,1.2071575228,-0.5991148660000001,0.30049448700000003,0.0806304085
ecoli_00049,-0.571041445,-0.44621574300000005,0.385420437,0.3691834525
ecoli_00050,1.7261677481,0.683629718,-0.27212706600000003,0.4817487815
ecoli_00051,2.6274441091,0.7885854680000001,-0.12186204800000001,0.39338119250000003
ecoli_00052,3.3293098714,0.206760041,-0.34170452700000004,-0.050986039500000004
ecoli_00053,2.8254266843,0.183314323,-0.297261227,-0.0231099835
ecoli_00054,4.8218983383000005,-0.542585261,-0.7892132340000001,0.5990756295
ecoli_00055,4.9808761971,-0.607156115,-0.655687686,0.5218365345
ecoli_00056,0.3174341088,0.045715161000000004,0.15008310700000002,-0.5340536035
ecoli_00057,0.18149753740000002,0.09762738400000001,-0.23148865600000001,-0.4149396495
ecoli_00058,1.8731912783,-0.18848155800000002,0.421955937,-0.8381361135000001
ecoli_00059,1.3442769459,-0.242270962,0.20043476400000002,-0.9121125335
ecoli_00060,0.6554048998,-0.234511247,0.460466023,-0.3513240925
ecoli_00061,0.494110559,-0.20882609800000002,0.42824722,-0.4675586545
ecoli_00062,1.0635279904,0.087242941,0.841546389,-1.2049065185
ecoli_00063,1.0517115783,0.022124095,0.811936096,-0.5649073275000001
ecoli_00064,-0.8587331207000001,-0.769651592,-1.24281979,0.5331391285
ecoli_00065,-0.3501583346,-0.646367331,-1.194066783,0.5641948175
ecoli_00066,0.4252458729,-1.035417797,-0.612176762,0.0735496395
ecoli_00067,1.0355556052,-0.98364399,-0.890210346,0.0569492185
ecoli_00068,0.9399934453000001,-0.57964238,0.152757827,0.4253597615
ecoli_00070,0.46339613290000004,-0.946672155,0.450323843,-0.1002218485
ecoli_00071,-0.1500416582,-0.70245124,0.41549151300000003,-0.034828066500000004
ecoli_00072,0.6138287168000001,-0.6560544730000001,0.41647142800000003,-0.12163705150000001
ecoli_00073,6.845050565,-1.37524121,1.133568062,-0.1538379885
ecoli_00074,7.2697523918,-1.519285843,1.164902686,-0.3679211925
ecoli_00075,9.6280870006,-1.857965349,0.774300533,0.41213246950000004
ecoli_00077,3.3874896913,-1.7740696470000001,0.67370082,0.3630780825
ecoli_00078,7.9007663982,-1.679262271,0.854771578,0.6441685145
ecoli_00079,7.8717518308,-1.5296943330000001,0.9232690640000001,-0.10895602950000001
ecoli_00080,-0.0130148408,-0.241030033,-0.14293920400000001,0.0731933895
ecoli_00081,0.6372806349,-0.724032275,0.721717108,-0.1866494685
ecoli_00082,2.6390731406,0.563029258,-0.31037544,0.10308692950000001
ecoli_00083,2.4348746077,0.5452901480000001,-0.640968533,0.1824106645
ecoli_00084,2.0889276161,0.5749984380000001,-0.201309812,0.2525159455
ecoli_00085,1.5784254761,0.562240048,-0.39424058300000003,0.17281035050000002
ecoli_00086,-1.0758905795,-0.350516384,-0.5372886060000001,0.09591121550000001
ecoli_00087,0.5843389274,-0.297698038,-0.699416029,-0.0514662735
ecoli_00088,0.8336443292,-0.48628780600000004,-0.412713996,0.4381540525
ecoli_00089,0.4629699136,-0.53814686,-0.47087470800000003,0.5490068335
ecoli_00090,2.7108622394,-0.5029783950000001,0.28875463300000004,0.2574579395
ecoli_00091,2.6768269289,-0.572787414,0.137227618,0.2698259865
ecoli_00092,-0.0428955418,-0.43926326200000004,-0.396505096,-0.34158132950000003
ecoli_00093,0.6599165939,-0.355462483,0.022697716,0.11219308750000001
ecoli_00094,4.6123652684,-0.431275444,0.357370538,0.5881046485
ecoli_00095,4.8119732948,-0.47569201600000005,0.142028067,0.4456274495
ecoli_00096,0.0040893927000000005,-0.21907488400000003,-0.09645159,-0.1044784755
ecoli_00097,-0.8343941541000001,-0.29527451800000004,-0.20095585400000002,-0.08270643450000001
ecoli_00098,4.8487314618,-0.177257513,0.340794616,0.39067970550000003
ecoli_00099,5.5303209662,-0.18967989200000002,0.321030419,0.44091671450000003
ecoli_00100,2.1016829654,-0.139703868,0.306008498,-0.3587007085
ecoli_00101,2.0118222144,-0.21448740600000002,-0.6298494130000001,-0.8582225215
ecoli_00102,2.2783145556,-0.21332366900000002,-0.297115978,-0.6973849045
ecoli_00103,6.3497195394,-0.31724649200000005,0.361246033,0.1259900365
ecoli_00104,5.4682847517,-0.309938502,0.32053233000000003,0.1534925995
ecoli_00105,3.6821933971,-0.222994296,0.532048132,-0.4725241865
ecoli_00106,4.7998148954,-0.174284776,0.185643826,-0.4338023085
ecoli_00107,5.2655447449,-0.089958595,0.36974975400000004,-0.4517896045
ecoli_00108,8.2734091809,-1.2857264019999999,0.7823784220000001,0.7869022915
ecoli_00109,10.8470497849,-1.501529713,0.968125769,1.0605303565
ecoli_00110,3.2485730148,-0.155629982,0.499388482,0.4460130265
ecoli_00111,3.2281666843,-0.114934488,0.615321514,0.4088875745
ecoli_00112,2.9315839710000002,-0.147109753,0.816726287,0.49741272750000004
ecoli_00113,20.3146243509,-1.271483779,1.1980580490000001,1.2369219455
ecoli_00114,19.6457362225,-1.177351436,1.324648829,0.8874602845
ecoli_00115,20.7254631275,-1.174853432,1.429987417,1.0767604395
ecoli_00116,2.0306715909,-0.24670364600000003,0.34806596700000003,0.5996688085
ecoli_00117,2.3012909745,-0.217710901,0.24217671600000001,0.5703166005
ecoli_00118,2.7231418896,-0.34636329800000004,0.424376464,0.5036175315
ecoli_00119,2.7382706593,-0.14795257,0.76479673,0.2273135155
ecoli_00120,2.7250501184,-0.13383598800000002,0.771115685,0.3345255855
ecoli_00121,2.4231431436,-0.24589322600000002,0.6997878070000001,0.4058469045
ecoli_00122,-0.7165283737,-0.17621799900000001,-0.239614774,0.45000584450000003
ecoli_00123,0.5633067611,-0.25661334,-0.309847429,0.3381277485
ecoli_00124,-0.7502586463,-0.279568501,-0.312162616,0.4754143025
ecoli_00125,6.1436527566,-1.531208371,0.515714804,-0.44286999250000003
ecoli_00126,2.6522831621,-0.333096123,-0.38966496,-0.24612490250000002
ecoli_00127,1.5643708409000001,-0.77865494,-0.5599653760000001,-0.6606236855000001
ecoli_00128,2.6831128699,-0.12059369700000001,0.14118597900000002,-0.7887084075
ecoli_00129,8.9059286844,-1.378413375,1.057359943,0.2722742915
ecoli_00130,4.3194832816,-0.7807343670000001,-0.09002803,-0.2739036005
ecoli_00131,3.8846453531,-1.360002336,0.060623077000000004,-0.7454388865
ecoli_00132,3.0982638484,-1.014558191,1.127815443,-0.06704781850000001
ecoli_00133,14.0483785755,-1.871778225,0.32671725,0.1811508085
ecoli_00134,2.8366966194,-0.44312802300000004,0.17405846400000002,-0.33061188150000004
ecoli_00135,2.4281313608,-0.17273049999999998,0.38059052400000004,-0.1838051575
ecoli_00136,1.7573258228,-0.320755442,0.09251782800000001,0.4484809985
ecoli_00137,1.2745010498,-0.527302844,0.28365929700000003,0.3130631115
