,-0.05385239584,-0.02692619792,0.0,0.026926197919999992,0.05385239584,0.08077859376,0.10770479167999998,0.13463098959999997,0.16155718751999998,0.18848338543999998,0.21540958336,0.24233578128,0.26926197919999995,0.29618817711999995,0.32311437503999996,0.35004057295999996,0.37696677087999997,0.4038929688,0.43081916672,0.45774536463999993
thresh,-0.0673154948,0.0673154948,6,,,,,,,,,,,,,,,,,
unreg,0,212,3518,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,21,176,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and NarL,4,5,41,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NarP and NarL,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, NarP, and NarL",0,3,11,4,2,4,7,4,0,2,1,0,1,1,2,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],"['iraD' 'ydfO' 'pdhR' 'tdcF' 'aldA' 'nac' 'ynfK' 'fes' 'moaA' 'soxS'
 'soxR' 'ybdZ' 'fepE' 'emrK' 'sucA' 'ompX' 'sdhB' 'sucD' 'ybdN' 'sucC'
 'ygbA']","['gadW' 'puuA' 'bcsZ' 'glpT' 'glpC' 'ychO' 'feoA' 'ansB' 'garP' 'tpx'
 'cadC' 'gcvT' 'ravA' 'fumA' 'sucB' 'tar' 'rplS' 'xdhC' 'arcA' 'amtB'
 'pdeF' 'emrY' 'malP' 'ortT' 'feoC' 'garR' 'gapC' 'gcvP' 'hyfA' 'hyfR'
 'dppF' 'focB' 'hyfC' 'hypC' 'dcuC' 'rpsQ' 'rpsJ' 'rpsI' 'acrF' 'hyfF'
 'rpmC' 'hyfJ' 'ycaC' 'caiA' 'viaA' 'yfcZ' 'acnA' 'scpA' 'scpC' 'garL'
 'tdcE' 'garK' 'rplT' 'gnd' 'hypB' 'gdhA' 'gltF' 'feoB' 'sdhA' 'pstB'
 'ydeJ' 'glnD' 'rpsP' 'dppD' 'hemA' 'rpsS' 'tap' 'hyfE' 'aspC' 'thrA'
 'rplM' 'yeiL' 'rplW' 'puuP' 'rplD' 'aceE' 'tdcG' 'ung' 'caiB' 'phoU'
 'gltD' 'rplC' 'hlyE' 'yibN' 'tdcA' 'prmC' 'zwf' 'rplV' 'hyfD' 'gltB'
 'cheB' 'glpQ' 'glnK' 'moaB' 'rimM' 'rplB' 'rpsC' 'dppB' 'hyfB' 'caiE'
 'purM' 'sdhC' 'prfA' 'hyfI' 'lpd' 'fixB' 'ssuE' 'gcvH' 'dppC' 'malQ'
 'caiC' 'gadX' 'ymjE' 'moaC' 'moaD' 'pepT' 'xdhB' 'caiT' 'ysgA' 'garD'
 'ssuD' 'sdhD' 'argK' 'trmD' 'ssuA' 'ndh' 'acrE' 'pitA' 'grcA' 'sodA'
 'hypD' 'narX' 'cheY' 'entF' 'glpB' 'tdcB' 'rplP' 'yecR' 'caiD' 'bcsB'
 'upp' 'mltA' 'fhlA' 'dppA' 'yffS' 'cheZ' 'pstA' 'msrB' 'hyfG' 'aceF'
 'narL' 'pstS' 'ssuB' 'nfeR' 'uxaA' 'moaE' 'ssuC' 'fumC' 'tdcD' 'fnr'
 'pstC' 'hyfH' 'gadA' 'cydA' 'purN' 'scpB' 'cydB' 'xdhA' 'tdcC' 'aroP'
 'glpA' 'cheR' 'hmp' 'aer' 'nrdD' 'pykA']","['cyoA' 'uxaC' 'ccp' 'fixC' 'cyoB' 'fixA' 'iraM' 'nrdG' 'hypE' 'uraA'
 'ackA' 'ydfZ' 'cyoC' 'cyoD' 'katG' 'cyoE']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],['torD' 'hybO'],['hybA' 'ogt' 'torA' 'torC' 'hybE' 'hybD' 'hybC' 'hybB' 'hybF'],['hybG'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr and NarL_genes,['dcuB' 'nikA' 'ynfE' 'fumB'],['adhE' 'ynfH' 'narG' 'dmsD' 'nikB'],"['focA' 'ynfG' 'citG' 'dcuR' 'aspA' 'dpiB' 'nuoE' 'narK' 'nuoF' 'moeB'
 'ubiA' 'citE' 'frdA' 'frdB' 'dpiA' 'dcuS' 'cydD' 'nuoC' 'citX' 'nuoG'
 'nuoB' 'moeA' 'nuoA' 'ynfF' 'frdD' 'cydC' 'frdC' 'nikD' 'nuoH' 'citF'
 'citC' 'nuoK' 'nuoL' 'nuoI' 'citD' 'nikC' 'nikR' 'ubiC' 'nuoJ' 'nuoM'
 'dcuA']",['dmsA' 'nuoN' 'nikE' 'pflB' 'ompW' 'caiF'],['dmsB' 'dmsC' 'narI' 'narH'],['narJ'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarP and NarL_genes,[],['yoaG'],['hyaB' 'hyaA' 'ydeP' 'hyaC' 'hyaD' 'hyaE' 'hyaF'],[],['yeaR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
