,0
name,Fnr+NarLP
TF,Fnr+NarP+NarL
regulator,"<a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK120011229&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">Fnr</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK120011508&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">NarP</a> and <a href=""http://regulondb.ccg.unam.mx/regulon?term=ECK120011502&organism=ECK12&format=jsp&type=regulon"" target=""_blank"">NarL</a>"
function,
category,Nitrogen Metabolism
has_venn,True
scatter,3
exp_var,0.0059098334600000005
precision,0.956522
recall,0.628571
