,treB
Cr_1,0.003112627961719866
Cr_2,0.004964382353877092
Cr_3,0.01157683947557443
Cr_4,0.01463144361828947
Cr_5,0.010428129356353236
Cr_6,0.016613187144705246
Fe_1,-0.014135649079614362
Fe_2,-0.019892088737337985
Fe_3,-0.016739093588521534
Fe_4,-0.011544907130135729
Fe_5,-0.004649519498108889
Fe_6,0.0038012660441551814
Cd_1,-0.0011780213580723812
Cd_2,0.007136087372007981
Cd_3,0.015910371528610457
Cd_4,0.01556925192155261
Cd_5,0.01200161660649383
Cd_6,0.011008836897521973
Zn_1,-0.008591461479748683
Zn_2,-0.0185724928734016
Zn_3,-0.015863784777250145
Zn_4,-0.013678907495328472
Zn_5,-0.013244296106659269
Zn_6,-0.012605583890252287
Cu_1,0.007749442670726798
Cu_2,0.01905703249864924
Cu_3,0.025315371933454792
Cu_4,0.04104010738451061
Cu_5,0.05837366419725325
Cu_6,0.07272574360607442
Pb_1,0.0014984247207144301
Pb_2,-0.006409874558027911
Pb_3,-0.013519673746267308
Pb_4,-0.0012618033185339914
Pb_5,-0.00301035546197258
Pb_6,0.010057391298127258
