,uspB
Cr_1,-0.011076293627693428
Cr_2,-0.009245968245668276
Cr_3,0.01022446166351505
Cr_4,0.03621779363389428
Cr_5,0.06107824662847676
Cr_6,0.07624224868481005
Fe_1,-0.015856682006854816
Fe_2,-0.056633408572601227
Fe_3,-0.12091570597844024
Fe_4,-0.20386580909773871
Fe_5,-0.2730861322494822
Fe_6,-0.3308942934343744
Cd_1,0.004604688325423999
Cd_2,0.014964772605974938
Cd_3,0.025940678616811156
Cd_4,0.0328384414727458
Cd_5,0.03387752791413542
Cd_6,0.04478524422855792
Zn_1,-0.0260922699256379
Zn_2,-0.035261253368993335
Zn_3,-0.030465103473791333
Zn_4,-0.00403111316662828
Zn_5,0.05148437442400797
Zn_6,0.08838069570137147
Cu_1,0.0022417158133925773
Cu_2,0.012029685244077529
Cu_3,0.0241943216948528
Cu_4,0.026589489461815427
Cu_5,0.028978840984416675
Cu_6,0.030188819169835512
Pb_1,0.002615356593040657
Pb_2,0.005381976581662807
Pb_3,0.01298938948682474
Pb_4,0.01898990806015987
Pb_5,0.02460468114470036
Pb_6,0.042699157333664535
