,A,NagC,Crp
R2,,0.27706391948264564,0.019533461204165548
xmin,,-2.6094006315000002,-9.852476477
xmid,,0.39840975347307267,-3.544889413082807
xmax,,2.9150698085,1.6003325529999994
ystart,,1.2305553433351744,-1.10024943409789
yend,,22.036510809233864,2.4240749350865833
control__wt_glc__1,0.1045252651297187,-0.1348645865,0.012478645999999928
control__wt_glc__2,-0.1045252651297204,0.13486458650000088,-0.012478645999999928
fur__wt_dpd__1,-0.5574318946846603,0.5356861035000007,0.07757413100000042
fur__wt_dpd__2,-0.2349171258833804,0.6856461505000002,-0.0906821709999992
fur__wt_fe__1,0.4054382179887642,-0.06660838749999964,-0.030513672999999738
fur__wt_fe__2,0.4669692208347207,-0.0018690534999992179,0.0581907200000007
fur__delfur_dpd__1,-0.6449176706093428,0.3904760035000008,-0.10598198399999957
fur__delfur_dpd__2,-0.1631658107844392,0.5159520574999998,-0.22346684100000047
fur__delfur_fe2__1,0.8873392873766102,0.23909224750000035,0.4364299129999996
fur__delfur_fe2__2,0.9514247591048814,0.18141056950000056,0.36756339300000107
acid__wt_ph5__1,-0.4138617735668905,0.4992295405000009,0.3455225730000002
acid__wt_ph5__2,-0.172975079323807,0.4759241495000008,0.34313646300000045
acid__delgadx_ph5__2,0.0499800973724998,0.5637066395000003,0.3393877130000007
acid__delgadw_ph5__1,-0.2826488953356755,0.4300529915000011,0.3838637929999997
acid__delgadw_ph5__2,-0.3951759966287648,0.4458840685000007,0.3398617829999999
acid__delgade_ph5__1,-0.0875904527618351,0.4368820784999992,0.432408723
acid__delgade_ph5__2,-0.3617359663728121,0.4558654855000022,0.4824361929999999
oxidative__wt_pq__1,2.7475211024088497,0.8097655074999999,0.17662370300000066
oxidative__wt_pq__2,2.7284093213786047,0.8974712905000022,0.24038529300000103
oxidative__deloxyr_pq__1,2.605116402589673,0.4554524685000008,0.5131550130000004
oxidative__deloxyr_pq__2,2.18370794277014,0.5495433345000009,0.5363373029999998
oxidative__delsoxr_pq__1,3.184994121752654,0.9624726695000004,0.3346725330000009
oxidative__delsoxr_pq__2,3.131834468120664,0.9169485305000008,0.3870598730000001
oxidative__delsoxs_pq__1,2.855045816535068,0.9554377035000003,0.5134629630000003
oxidative__delsoxs_pq__2,2.3851816227413063,0.9613866075000006,0.5104807529999995
nac_ntrc__wt_csn__1,-1.2163546940311565,0.19142027450000046,-0.0727968299999997
nac_ntrc__wt_csn__2,-1.1382524306177633,0.23753743050000065,-0.09324395099999984
nac_ntrc__wt_cytd__1,0.7948641759855594,0.4650280405000009,-0.043119613
nac_ntrc__wt_cytd__2,0.5809827411838365,0.28062773350000025,-0.07348926000000056
nac_ntrc__wt_gln__1,0.6309428705239974,0.4113534295000011,0.16383650300000066
nac_ntrc__wt_gln__2,0.8215178399635021,0.21154238250000024,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,-1.2027242933565916,0.4386271445000007,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,-2.2679738989450784,0.5521827205000003,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,-0.0754496564670647,0.4459359545000003,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,0.1672252872194705,0.4613821684999993,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,0.0441254994018747,0.5265031075,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,0.7539590074008413,0.5012241585000003,0.563775123000001
nac_ntrc__bw_delnac_nh4__1,0.0118975466266392,0.08995286850000106,0.3391651030000009
nac_ntrc__bw_delnac_nh4__2,0.5417145682847059,0.13627249150000156,0.3602350630000011
misc__wt_no_te__1,1.2376227619130928,0.6468454935000008,0.3221691629999999
misc__wt_no_te__2,1.1058898232857102,0.4727811395000003,0.3159875930000009
misc__bw_delcbl__1,0.5860423726811136,0.33489337850000034,0.30577407300000026
misc__bw_delcbl__2,0.4581711656585659,0.2937990585000003,0.3225694130000001
misc__bw_delfabr__1,0.2887565590813011,0.27597823450000103,0.1944652930000004
misc__bw_delfabr__2,0.1409418369689649,0.2811970815000011,0.13385438500000113
misc__bw_delfadr__1,0.0817463578816793,0.2596907365000014,0.325118883
misc__bw_delfadr__2,-0.1148742227565455,0.2371885985000004,0.3434663330000003
misc__nitr_031__1,-0.7637979222944715,0.3996359095000006,0.2155988630000003
