,yecF
Cr_1,0.0048889753149948005
Cr_2,0.019818207250284367
Cr_3,0.034138707069313344
Cr_4,0.05942076000305189
Cr_5,0.07194119993612075
Cr_6,0.0826310167886962
Fe_1,-0.011781004310852616
Fe_2,-0.012285838865354544
Fe_3,0.009239496932046558
Fe_4,0.01640325438520868
Fe_5,0.035709241858966415
Fe_6,0.04607269993709365
Cd_1,0.001890626544624161
Cd_2,0.009094880662144363
Cd_3,0.013232811850007723
Cd_4,0.01457100446340391
Cd_5,0.02233769029607382
Cd_6,0.030987266759814683
Zn_1,0.01814054104292884
Zn_2,-0.07170035345434211
Zn_3,-0.07272965736668079
Zn_4,-0.08852482163159979
Zn_5,-0.08586020744645835
Zn_6,0.05523769091504933
Cu_1,0.0038403849073941694
Cu_2,0.006753552253333375
Cu_3,-0.003970440070819235
Cu_4,-0.005304442894539383
Cu_5,-0.0006979466713225747
Cu_6,-0.002478008175857589
Pb_1,0.015327359138164597
Pb_2,0.024919719139443276
Pb_3,0.036186441069188585
Pb_4,0.0354934655942163
Pb_5,0.02867321371796555
Pb_6,0.03083572095251875
