,thrU
Cr_1,-0.023056196569361233
Cr_2,-0.03874173935336244
Cr_3,-0.043003697184768035
Cr_4,-0.05095795499377341
Cr_5,-0.05540096557381032
Cr_6,-0.05321390687738208
Fe_1,0.0010193631902187278
Fe_2,-0.04040721360040397
Fe_3,-0.11357312149816745
Fe_4,-0.2097647065612303
Fe_5,-0.32301756609280363
Fe_6,-0.21298739128159255
Cd_1,0.15751307993116725
Cd_2,0.047095164788214176
Cd_3,0.331910529137041
Cd_4,0.583357492988309
Cd_5,0.7345931745689044
Cd_6,0.8589355688362007
Zn_1,0.044298705973286175
Zn_2,0.07481488528815697
Zn_3,0.09416552981344777
Zn_4,0.1176954276471361
Zn_5,0.1434692107049796
Zn_6,0.1382580122484548
Cu_1,0.03229689276106181
Cu_2,0.055399508987158515
Cu_3,0.07930991856137001
Cu_4,0.037708074201489535
Cu_5,-0.01163664867336772
Cu_6,-0.02038412306451785
Pb_1,0.0031289215720351183
Pb_2,0.01855846354184864
Pb_3,0.03681086570501954
Pb_4,0.052041471852168765
Pb_5,0.052984171198083733
Pb_6,0.05733180892369191
