,yciW
Cr_1,0.012215770262660396
Cr_2,0.043408650093579235
Cr_3,0.08535664605243676
Cr_4,0.11883602146169195
Cr_5,0.15241589485250887
Cr_6,0.17488473341489064
Fe_1,-0.00020596829336345352
Fe_2,0.010126618697732502
Fe_3,0.01498283381544315
Fe_4,-0.0009270768257743127
Fe_5,-0.009341800159462912
Fe_6,-0.017989638003225863
Cd_1,0.005145992554366307
Cd_2,0.02542963751147076
Cd_3,0.04990109776895593
Cd_4,0.07646258588775015
Cd_5,0.08438219605060934
Cd_6,0.09323968692271044
Zn_1,0.003230096171993254
Zn_2,0.02497038449340721
Zn_3,0.02707905645546227
Zn_4,0.020866724320896438
Zn_5,0.014481479102956182
Zn_6,0.0053146116236061905
Cu_1,0.011497608705012222
Cu_2,0.026268453633478198
Cu_3,0.04031619873130343
Cu_4,0.047552843891443417
Cu_5,0.050329001265135134
Cu_6,0.05946069915533124
Pb_1,0.002946519976741087
Pb_2,0.014364684082251025
Pb_3,0.02077138950171464
Pb_4,0.02482442845058344
Pb_5,0.035622925031467696
Pb_6,0.041273018182688255
