,yhcO
Cr_1,-0.01518330165807626
Cr_2,-0.0249300095428735
Cr_3,-0.027128249474855773
Cr_4,-0.023561324758930108
Cr_5,-0.017581891561845912
Cr_6,-0.0003411652419753501
Fe_1,-0.006574542301968529
Fe_2,-0.0269319767672724
Fe_3,-0.052286664246856594
Fe_4,-0.08554026521535081
Fe_5,-0.11255937488115847
Fe_6,-0.12671831730067734
Cd_1,0.002979689777958172
Cd_2,0.009262846572125236
Cd_3,0.0166121714663687
Cd_4,0.023828342768744883
Cd_5,0.027347556945933032
Cd_6,0.03635529353665468
Zn_1,0.012564508792802869
Zn_2,0.023342886909463068
Zn_3,0.039864896371888066
Zn_4,0.059069113150894186
Zn_5,0.07463642831010324
Zn_6,0.08097352975696044
Cu_1,0.0042517613018919435
Cu_2,0.009287371959399469
Cu_3,0.016597495360285725
Cu_4,0.024293898919476226
Cu_5,0.033375627115686465
Cu_6,0.04396676508128886
Pb_1,0.0068782504569847224
Pb_2,0.012013141231910166
Pb_3,0.015187687817919609
Pb_4,0.021372607073279717
Pb_5,0.025062163831778717
Pb_6,0.02870616849989816
