,A,NrdR,hns
R2,,0.004354223857228834,0.0020428845175373134
xmin,,-3.4735701866,-11.2828757996
xmid,,1.0927078473768415,
xmax,,3.6676360734999998,2.8974495703
ystart,,0.19169558522823227,-0.9328840714221907
yend,,3.55725954973935,0.502611009843224
SRX1125282,0.9007801051000001,-0.1912134183,-0.0832222629
SRX1125283,0.008575032100000001,-0.0495531065,-0.0215977273
SRX1125284,-0.31024368350000003,-0.060171080200000004,0.014475031800000001
SRX1125285,-1.4464488401,-0.1062194003,-0.069698208
SRX1125286,-0.9069768972000001,-0.2563790614,-0.28960489710000004
SRX1125287,-0.7787638861,-0.180882749,-0.2321548066
SRX1125288,0.3710971894,0.0292420033,-0.0482583698
SRX1125289,-0.5518672697,0.0956439271,-0.2218292502
SRX1125290,-0.8090112603,-0.1961170322,-0.0773807522
SRX1125291,-2.2230075177,-0.17592711860000002,-0.0678102107
SRX1125292,-1.3372360418,-0.0045334904,-0.1422065635
SRX1125293,-0.0483736482,-0.2530938286,0.2490992528
SRX1125294,-1.2718772945,0.16197141510000002,0.13148063270000002
SRX1125295,-0.8633582977,-0.0593663986,0.2910135497
SRX1125296,-0.5067407836,-0.1945736981,0.1734109775
SRX1125297,-1.7365851486000001,-0.38252174170000003,0.28443055370000003
SRX1125298,-1.0975047404,-0.3082227723,0.0742654028
SRX1125299,-0.8009315306,-0.29268513100000004,0.23033813420000002
SRX5694250,2.0875296221,-0.9128214926,-1.3295713452
SRX5694251,-1.6399104884,-0.8256137494,0.6661338201
SRX5694252,2.4173041859,-0.28024744300000004,-1.732107911
SRX5694253,0.1431560201,-0.5011748525,0.16751679260000002
SRX5694254,1.6785365326,-0.2057800574,-0.3087090213
SRX5694255,10.7527351766,-0.0028106437,-1.4290721084
SRX5694256,1.3446187348,0.0863564618,-0.1462527268
SRX5694257,5.023962463,0.1981071245,-0.641073463
SRX5694258,1.681170821,-0.2118866886,-0.0725217448
SRX5694259,-2.1953813495,-0.3945621729,0.4503702694
SRX5694260,-1.1819899678,0.4676424959,0.1739432252
SRX5694261,-0.8556810680000001,-0.8274012904,-0.6767263614
SRX5694262,-4.6338696181,-2.7078469002,-1.031702481
SRX5694263,-0.5506246828,0.16870673090000002,0.14700628870000002
SRX5694264,3.3214365003,-0.2387491716,-0.41701238430000004
SRX5694265,-0.5173634246000001,-0.0548755524,-0.1614027818
SRX5694267,0.374318392,-0.4825851989,0.3006681781
SRX5694268,-1.2176778137,0.4534451579,-0.0815327794
SRX5694269,-1.9194349224,0.1151463546,0.0328928135
SRX5694271,0.0045714931,-0.2308963268,-0.10642851340000001
SRX5694273,-0.6348071583,-0.7683255844,0.6464433037
SRX5694274,-1.0052832254,0.5850281660000001,-0.0005954383
SRX5694275,-0.14584435880000002,-0.4575596362,-0.7840740106
SRX5694276,-2.7377667792000002,-0.6319096646,0.7946358242
SRX5694277,-0.5733863516000001,0.5889253657,-0.3573271824
SRX5694278,-1.672245953,-0.15523415100000001,1.536242647
SRX5694279,0.5623328715,0.45622954260000004,-0.206662584
SRX5694280,0.3222734975,-0.23880566720000002,0.48643795360000003
SRX5694281,1.2293913347,0.4505260338,-0.5867027299
SRX5694282,3.5309283291,1.4932914181,1.5495831874000001
SRX5694283,-2.3309805472000003,0.2891322029,0.5062316505
SRX5694284,0.3320824408,0.1560013584,0.2590986018
SRX5694285,-1.0153055727,-0.5544299082,0.0087843152
SRX5694286,-0.1350703752,-0.5251435376,-0.3992162387
SRX5694287,-6.3148214049,1.3297380941,0.8313039999
SRX5694288,2.2429968042,-0.0510150677,-0.45174707410000003
SRX5694289,0.8636715911,-0.5068248828,0.46102281510000004
SRX5694290,3.7590853588,-0.10057044030000001,-0.39522827390000004
SRX5694291,9.8689072855,0.053320527300000004,-1.3338308134
SRX5694292,1.2698312107,0.4135112231,-0.43565160620000004
SRX5694293,0.5997477706000001,-0.0200244057,0.038069885000000005
SRX5694294,1.2222558676,-0.18113586650000002,-0.24636549170000002
SRX5694295,0.9768650789000001,-0.5156421319,-1.4046597106
SRX5694296,1.1869607504,-0.23206345860000002,0.0952690145
SRX5694297,-1.0669788696,-0.37392587,1.1708920348
SRX5694298,1.2123051406,-0.5677614854,-0.15364917820000001
SRX5694299,2.2150418952,0.0190881933,-0.329062373
SRX5694300,-0.0349988237,-0.4129249103,0.6446787887000001
SRX5694301,1.0168958885,0.5638377633,-0.499017776
SRX5694302,3.3068723596,0.2224132606,-0.4983299264
SRX5694303,3.6675628273000003,0.3871413041,-0.9284528158
SRX5694304,-0.076056129,-0.3172990381,0.4696265652
SRX5694305,-2.3598419109,-1.0511627288,0.8807592262
SRX5694306,1.4368320631,-0.8930488422,-3.003918591
SRX5694307,5.2921798192,1.7040913344000002,2.0280958555
SRX5694308,0.7030008928,-0.1117523571,0.1282549919
SRX5694309,-0.0226626196,-0.37379883,1.4273784088
SRX5694310,-2.5461950286,0.027924511000000003,0.3338719368
SRX5694311,-1.5690796978,-0.1489474602,0.5479911068000001
SRX5694312,-3.476935725,-0.843288142,-1.8298625141
SRX5694313,-2.1453515173,-0.3122943475,-1.2640210537
SRX5694315,-1.7032437502,0.2949842377,-0.21223886720000001
SRX5694317,-3.4651614351,0.9709381113000001,0.33937007880000003
SRX5694319,2.5948890027,-0.31794552730000003,-0.2648527613
SRX5694320,9.4135151902,0.5166667165000001,-1.6065648687
SRX5694321,-0.47423572490000004,-0.4603590119,0.7920205793
SRX5694322,-6.0292730379,-0.2018612977,1.4962296247
SRX5694323,-1.2225261944,-0.23382976900000002,0.8860898538
SRX5694324,-3.5150408337,-0.6888832624,1.1582991603
SRX5694325,-0.837708034,-0.36418108720000003,1.0332693507
SRX5694326,2.4407709413,0.1453181731,-0.5443186423
SRX5694327,-0.7003258148,0.1086453324,0.2748227025
SRX5694328,2.2834389528,0.1365063812,-0.4196697263
SRX5694329,-0.4887340189,-0.3966311602,0.8093676863
SRX5694330,-0.0681091558,-0.7058411935000001,-2.2776908039
SRX5694331,0.5028855560000001,0.0879731384,0.0793713315
SRX5694332,0.4195067885,-0.0690277703,0.1558267021
SRX5694334,1.7595637536000002,0.2483157516,-0.16419339230000002
SRX5694335,0.1569594463,-0.6988387937,0.3623619817
SRX5694336,-3.6825261093,-0.7978167174,2.0592240575
SRX5694337,-0.4088317073,0.0378880568,0.37091103740000003
SRX5694338,0.275791997,0.4478393136,-0.6577122203
SRX5694339,2.5744376214,-0.1730579987,-0.5185215767
SRX5694340,3.0459144423,-0.49708484820000004,-1.0589715228
SRX5694341,-2.2463611741,0.20638175860000002,1.8291972353000001
SRX5694342,-0.1213992057,0.055668203900000005,1.2003956974
SRX5694343,1.0650757941,-0.0069598561,-0.08934273300000001
SRX5694344,0.4499709183,-0.0590859081,0.6142965370000001
SRX5694345,-0.0270960464,0.052287419200000004,0.260286065
SRX5694346,1.1963854155,0.2091856159,0.16706967650000001
SRX5694347,1.8683935387,-0.5287375689,0.1257857565
SRX5694348,0.7744304803000001,0.5185097275,-0.7342629081000001
SRX5694349,-0.4352055892,-0.1861027044,-1.0978060964
SRX5694350,1.987677535,-0.7954118991,-0.2585618173
SRX5694351,4.9594813149,0.35985042640000003,1.1449067451000001
SRX5694352,2.5277453509,0.556039418,-0.10031158700000001
SRX5694353,5.1177534053,-0.1450803302,-0.7813179918000001
SRX5694354,-0.3051148709,0.2838832557,-0.3833516295
SRX5694356,5.2626758956,-0.1532189962,-0.9761935114
SRX5694357,0.254163381,0.10884879160000001,0.8141585597000001
SRX5694358,8.3428160881,-0.39524302370000003,-1.210879706
