,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,3.4345822523000002,0.7299009772384557,2.0,0.0,2.9184643217,5.0,3.9507001829
1,U01-Set001__USA300 LAC CA-MHB Control,2.7524731627000003,1.3578032607591484,2.0,1.0,3.7125850559,6.0,1.7923612695000002
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,2.47862107,0.015338628604013525,2.0,2.0,2.4677750217,7.0,2.4894671183
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,1.13250547465,1.6016046017118095,2.0,3.0,0.0,8.0,2.2650109493
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,1.88153011835,0.4244700016118442,2.0,4.0,2.1816757348999998,9.0,1.5813845018000001
5,U01-Set000__USA300 TCH1516 CA-MHB Control,1.3176332308,0.20831160585509934,2.0,10.0,1.4649317799000001,29.0,1.1703346817
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,0.59754395845,0.8450547701540951,2.0,11.0,0.0,30.0,1.1950879169
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,1.19355134385,0.0933071134451386,2.0,12.0,1.2595294365,31.0,1.1275732512
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,2.2016712508,1.0913970090981244,2.0,13.0,2.9734054769,14.0,1.4299370247
9,U01-Set001__USA300 LAC RPMI+10%LB Control,2.1008410296999998,0.9316659727043404,2.0,15.0,2.7596283568,18.0,1.4420537026
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,1.47805539945,0.18346033909095824,2.0,16.0,1.3483293496,19.0,1.6077814493
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,1.9466680419500002,0.8027824268598592,2.0,17.0,1.3790151441,20.0,2.5143209398
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,2.55822412995,0.6211762117638654,2.0,21.0,2.9974620416,24.0,2.1189862183
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,2.1589670892,0.642300948575093,2.0,22.0,2.6131424455000003,25.0,1.7047917329
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,2.7791270052,0.502898375127003,2.0,23.0,3.1347298565,26.0,2.4235241539
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,2.12599540005,0.051890160193952276,2.0,27.0,2.0893035159,28.0,2.1626872842
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,0.7695934728,1.0883695267475697,2.0,32.0,0.0,33.0,1.5391869456
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,0.0,0.0,2.0,34.0,0.0,38.0,0.0
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,0.0,0.0,2.0,35.0,0.0,39.0,0.0
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,0.0,0.0,2.0,36.0,0.0,40.0,0.0
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,0.0,0.0,2.0,37.0,0.0,41.0,0.0
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,0.0,0.0,2.0,42.0,0.0,45.0,0.0
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,0.0,0.0,2.0,43.0,0.0,46.0,0.0
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,0.0,0.0,2.0,44.0,0.0,47.0,0.0
24,U01-Set003__USA300 TCH1516 CA-MHB Control,2.48770313235,1.6949193098373314,2.0,48.0,1.2892141948,52.0,3.6861920699
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,3.57514753895,0.976700045629741,2.0,49.0,4.2657787644,53.0,2.8845163135
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,3.15844868845,0.5507861955396132,2.0,50.0,3.5479133423,54.0,2.7689840346
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,3.1264866116,0.6640611644426035,2.0,51.0,3.5960487641,55.0,2.6569244591
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,1.68743823445,0.06852892015642567,2.0,56.0,1.7358954986000001,57.0,1.6389809703
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,0.9039278755,1.2783470609391985,2.0,58.0,1.807855751,59.0,0.0
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,0.88637592385,1.2535248528696517,2.0,60.0,0.0,61.0,1.7727518477
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,5.82718487255,0.10611139172515627,2.0,62.0,5.7521527879,63.0,5.9022169572
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,2.3246548908999998,0.4559064886339303,2.0,64.0,2.6470294605999998,65.0,2.0022803212
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,6.38153917,0.9601850599716989,2.0,66.0,7.0604925371,67.0,5.7025858029
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,1.9332518513,0.6732014137966751,2.0,68.0,2.4092771361,69.0,1.4572265665000002
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,3.3656907228,1.8458378927010508,2.0,70.0,4.6708952137,71.0,2.0604862319
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,1.61573486795,0.5245761281309812,2.0,72.0,1.9866662054000002,73.0,1.2448035305
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,3.2421029007,0.012122895902109132,2.0,74.0,3.2335307188,75.0,3.2506750826
38,ICA-Set002__USA300 LAC CA-MHB Control,0.90383690275,1.278218406042342,2.0,76.0,1.8076738055,77.0,0.0
39,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLadenine,2.5119447776,0.07878270649097824,2.0,78.0,2.5676525636000003,79.0,2.4562369916
40,ICA-Set002__USA300 LAC RPMI+10%LB 25ugmLguanine,1.82487985215,0.33187770177541115,2.0,80.0,1.5902068787,81.0,2.0595528256
41,ICA-Set002__USA300 SNFM1 CA-MHB Control,3.4632522043,0.46679843452515235,2.0,82.0,3.1331758658,83.0,3.7933285428
42,ICA-Set002__USA300 SNFM1 RPMI+10%LB Control,4.58898104525,0.1630933354315763,2.0,84.0,4.4736566418,85.0,4.7043054487
43,ICA-Set002__USA300 SNFR19 CA-MHB Control,3.09941006675,0.12235799889348606,2.0,86.0,3.012889896,87.0,3.1859302375
44,ICA-Set002__USA300 SNFR19 RPMI+10%LB Control,2.74188670275,0.5169233470461786,2.0,88.0,3.1074067068,89.0,2.3763666987
45,ICA-Set002__USA300 TCH1516 CA-MHB Control,2.67779090655,1.0966082980406753,2.0,90.0,3.4532100704,91.0,1.9023717427
46,ICA-Set002__USA300 TCH1516 RPMI+10%LB Control,2.2340909663,0.40212704313605524,2.0,92.0,2.5184377254,93.0,1.9497442072000002
47,ICA-Set002__USA300 LAC R10LBnoGlu 1gLmaltose,0.0,0.0,2.0,94.0,0.0,96.0,0.0
48,ICA-Set002__USA300 LAC CAMHB 0.0195ug/mLMupirocin,2.75764718725,0.0239599937389518,2.0,95.0,2.7407049132,97.0,2.7745894613
