,-0.12528019908030466,-0.10440016590025389,-0.08352013272020312,-0.06264009954015234,-0.04176006636010157,-0.0208800331800508,-2.7755575615628914e-17,0.020880033180050744,0.041760066360101517,0.06264009954015229,0.08352013272020306,0.10440016590025383,0.1252801990803046,0.14616023226035538,0.16704026544040615,0.18792029862045692,0.2088003318005077,0.22968036498055847,0.25056039816060927,0.27144043134066
thresh,-0.0939601493102285,0.0939601493102285,1,,,,,,,,,,,,,,,,,
unreg,1,1,3,6,46,504,2823,434,42,8,4,3,4,1,1,2,2,0,1,0
unreg_genes,['STM2005'],['hsdS'],[],[],[],[],[],[],[],[],[],['STM4313' 'ushA' 'purG'],['STM1555' 'STM2624' 'rtcB' 'STM2625'],['soxS'],['STM0952'],['STM4315' 'STM2746'],['STM2627' 'STM1554'],[],['STM2747'],[]
