,yadG
Cr_1,0.0010278017897748608
Cr_2,0.010794061574604413
Cr_3,0.015503926230241447
Cr_4,0.02417626243124969
Cr_5,0.0304852149463915
Cr_6,0.042387892631475375
Fe_1,-0.006059176465319471
Fe_2,-0.01918520073384794
Fe_3,-0.021635410719263937
Fe_4,-0.02315049600453597
Fe_5,-0.013855913052374337
Fe_6,-0.003341571280074104
Cd_1,0.09588034848596164
Cd_2,0.011622339562434851
Cd_3,0.06766191482483461
Cd_4,0.1123975560125322
Cd_5,0.14181486682863426
Cd_6,0.1655362166232133
Zn_1,-0.0031271783949652823
Zn_2,-0.004193452232875128
Zn_3,0.0006628982236760318
Zn_4,0.011677580980336218
Zn_5,0.012972822247318523
Zn_6,0.01312924334990654
Cu_1,-0.003074830579705006
Cu_2,-0.0005110235015198136
Cu_3,0.002381613549760725
Cu_4,0.005014018592369108
Cu_5,0.004992210546077948
Cu_6,0.0069116867225434185
Pb_1,0.0012695955789220248
Pb_2,-0.0027889560211523485
Pb_3,0.0015069802918546375
Pb_4,0.008436268518498663
Pb_5,0.01831058549907718
Pb_6,0.029900391769967005
