,-0.04818797847272727,-0.04015664872727273,-0.03212531898181819,-0.024093989236363647,-0.016062659490909105,-0.008031329745454563,-2.0816681711721685e-17,0.008031329745454521,0.016062659490909063,0.0240939892363636,0.03212531898181815,0.0401566487272727,0.04818797847272723,0.05621930821818177,0.06425063796363631,0.07228196770909087,0.08031329745454541,0.08834462719999994,0.09637595694545448,0.10440728669090904
thresh,-0.0441723136,0.0441723136,1,,,,,,,,,,,,,,,,,
unreg,1,6,19,112,600,1660,1731,963,416,210,106,40,21,9,3,4,2,3,0,0
unreg_genes,['PSPTO_RS21330'],[],[],[],[],[],[],[],[],[],[],[],"['PSPTO_1797' 'PSPTO_3133' 'cobT' 'wrbA' 'PSPTO_5041' 'cobH' 'PSPTO_3308'
 'PSPTO_RS24400' 'PSPTO_0253' 'PSPTO_4980' 'PSPTO_1989' 'ccmB'
 'PSPTO_3945' 'PSPTO_3406' 'PSPTO_RS10075' 'PSPTO_1894' 'PSPTO_3539'
 'PSPTO_0790' 'PSPTO_1806' 'pgl' 'PSPTO_4912']","['PSPTO_0326' 'PSPTO_RS18060' 'iciA' 'PSPTO_RS26080' 'PSPTO_4126'
 'PSPTO_0991' 'ribD' 'PSPTO_1722' 'PSPTO_3626']",['PSPTO_4947' 'PSPTO_2794' 'glcG'],['ureB' 'PSPTO_0403' 'PSPTO_3887' 'PSPTO_1701'],['cfa7' 'cobL'],['PSPTO_0447' 'imuA' 'PSPTO_RS29875'],[],[]
