,selC
Cr_1,0.012525896174092856
Cr_2,0.02302817885331488
Cr_3,0.03733915903536095
Cr_4,0.05304802444479259
Cr_5,0.06983314801905854
Cr_6,0.08258824230056035
Fe_1,-0.016491310238785882
Fe_2,-0.031421352411749384
Fe_3,-0.020716711870283698
Fe_4,-0.01615963920573351
Fe_5,-0.009305088570586198
Fe_6,0.001849621325618823
Cd_1,0.002967288430977238
Cd_2,0.005567293624473518
Cd_3,0.009123707718226546
Cd_4,0.00645906355426791
Cd_5,0.0022876941013766964
Cd_6,0.003493501827394084
Zn_1,0.4672352625150296
Zn_2,0.5607584686394107
Zn_3,0.12270836915640734
Zn_4,-0.16629456545271878
Zn_5,-0.23925008499474165
Zn_6,-0.2558203778259592
Cu_1,-0.0001745411805540483
Cu_2,0.005022043752366079
Cu_3,0.01667344379952472
Cu_4,0.02795678498788217
Cu_5,0.034387110122779875
Cu_6,0.04164573169315005
Pb_1,0.01438623226846823
Pb_2,0.026614995591341003
Pb_3,0.04292021035704136
Pb_4,0.06138583696796415
Pb_5,0.07871432883297168
Pb_6,0.09476917059215252
