,PP_4680
SRX8894563,0.8163916025000013
SRX8894564,0.6556788465000007
SRX8894565,0.7271007785000005
SRX8894566,0.8570160125000008
SRX8894567,0.8534189355000006
SRX8894568,0.7657867894999999
SRX8245718,-0.0990683824999987
SRX8245719,-0.8865824694999995
SRX8245720,0.6530346495000003
SRX8245721,0.3326162025000005
SRX8245722,-0.4402287794999999
SRX8245723,-0.1508715614999989
SRX8245724,-0.2246000714999994
SRX8245725,-0.4514523404999995
SBRG_IL__IL3__1,-0.0059750924999999
SBRG_IL__IL3__2,-0.0988667625000001
SRX8245728,1.282482099500001
SRX8245729,1.0467601935000008
SRX8245730,0.6759016945000003
SRX8245731,0.4087144965
SRX8245732,0.3303003155000006
SRX8245733,0.5912457535000009
SBRG_IL__wt__1,0.5593482635000004
SBRG_IL__wt__2,0.4359520765000013
SRX8245726,0.4410940685
SRX8245727,0.3308842315000007
SRX8894553,0.4632061835000005
SRX8894554,0.4626742435000004
SRX8894555,0.2606189405000005
SRX8894556,0.467122229500001
SRX8894557,0.4136810175000001
SRX8894558,0.4465691555000006
SRX8894559,0.5696125395000013
SRX8894560,0.5349496195000008
SBRG_UNeb__coum__1,1.095708538666666
SBRG_UNeb__coum__2,1.0316558196666668
SBRG_UNeb__coum__3,0.6028160656666666
SBRG_UNeb__coumferul__1,0.1929036896666662
SBRG_UNeb__coumferul__2,0.0064957336666662
SBRG_UNeb__coumferul__3,-0.570354673333334
SBRG_UNeb__ferulate__1,-0.6509346393333333
SBRG_UNeb__ferulate__2,-0.4506679273333338
SBRG_UNeb__ferulate__3,-0.4355899983333335
SBRG_UNeb__glc__1,-0.1063481603333338
SBRG_UNeb__glc__2,-0.1480917173333331
SBRG_UNeb__glc__3,0.2544398776666661
SRX5659920,-0.0940781930000005
SRX5659925,0.0940781929999996
SRX5704140,0.0007903906666673
SRX5704141,0.0846968866666664
SRX5704142,0.1675200246666666
SRX5704143,0.7466021166666668
SRX5704144,0.9945535046666674
SRX5704145,0.3874356296666672
SRX5704146,0.1955334056666675
SRX5704147,0.4461991666666662
SRX5704148,0.3563965046666659
SRX5704149,0.2842355706666666
SRX5704150,0.793724580666666
SRX5704151,0.8095554706666661
SRX5704152,-0.004184506333333
SRX5704153,-0.0673913313333329
SRX5704154,0.2238119256666664
SRX5704155,0.5975676586666658
SRX5704156,0.8173688806666668
SRX5704157,0.3613022696666661
SRX5704158,0.330204934666666
SRX5704159,0.3277904656666663
SRX5704160,0.1811024826666667
SRX5704161,0.3407453976666659
SRX5704162,0.8333454706666661
SRX5704163,0.8532109796666667
SRX5704164,0.0033941156666674
SRX5704165,0.1207228816666674
SRX5704166,0.054842026666666
SRX5704167,0.797993120666666
SRX5704168,0.963957219666666
SRX5704169,0.3823902436666664
SRX5704170,0.2599460776666671
SRX5704171,0.2498841406666674
SRX5704172,0.2616900056666669
SRX5704173,0.5157710126666668
SRX5704174,0.8972338786666665
SRX5704175,0.9583168586666666
SRX4552613,-1.2806384150000003
SRX4552614,-1.135874382
SRX4552615,-1.2085531349999998
SRX4552616,-0.6304691690000004
SRX4552617,-0.5796646540000001
SRX4552618,-0.6729699739999999
SRX4552619,-0.3209262430000006
SRX4552621,0.3209262430000006
SRX4552622,-1.431276316
SRX4552623,-1.753152151
SRX4552624,-2.007528932
SRX7195897,0.074205032
SRX7195898,0.0758736950000003
SRX7195899,-0.1500787270000003
SRX7195900,0.3806310609999999
SRX7195901,0.1406996149999999
SRX7195902,0.1625244930000002
SRX801088,-0.1298806264999985
SRX801089,0.1298806265000003
SRX801090,-0.5299130805000001
SRX801091,-0.6750534295000001
SRX801092,-0.0529018834999988
SRX801093,-0.4796614254999998
SRX3921725,0.1553939206666665
SRX3921834,-0.0920828533333333
SRX3921973,-0.0633110673333332
