,cysT
Cr_1,0.014689474522742909
Cr_2,0.02476609367234786
Cr_3,0.04312934029716945
Cr_4,0.058171541127154634
Cr_5,0.07849588960437275
Cr_6,0.09906909067957913
Fe_1,-0.0038338589399101726
Fe_2,-0.0070015727796535285
Fe_3,0.002734403146243396
Fe_4,0.020723458587948586
Fe_5,0.02746733098650252
Fe_6,0.0386251815574173
Cd_1,0.010917170876681587
Cd_2,0.01734606191463534
Cd_3,0.02449430698475887
Cd_4,0.02898161660545706
Cd_5,0.028429208900278544
Cd_6,0.03553683364399235
Zn_1,-0.011926537514792944
Zn_2,-0.013532065054353276
Zn_3,-0.003272324989081273
Zn_4,0.022152546411717582
Zn_5,0.032203429791478166
Zn_6,0.05190458634148497
Cu_1,0.012594497436172159
Cu_2,0.017502140291428873
Cu_3,0.01874384240687372
Cu_4,0.030141939587242338
Cu_5,0.03778499935890914
Cu_6,0.04238915830277176
Pb_1,-0.009471767225220909
Pb_2,-0.008154730859461409
Pb_3,-0.0011811016334111542
Pb_4,0.004951661645824924
Pb_5,0.011168516349878112
Pb_6,0.019457485524932528
