,Value,list
TF,fliA,
reg_genes,65,"['lolB' 'ppdB' 'fliO' 'fliG' 'fliJ' 'hemL' 'ppdC' 'fliP' 'fliZ' 'ppdA'
 'oppA' 'prs' 'fliF' 'fliN' 'fliK' 'oppC' 'modC' 'ykfB' 'fliE' 'recC'
 'ispE' 'fliR' 'oppD' 'fliL' 'fliA' 'fliI' 'fliH' 'oppF' 'crfC' 'fliY'
 'yecF' 'oppB' 'yjcS' 'fliM' 'fliQ' 'ygbK']"
comp_genes,30,['uhpT']
both_genes,29,"['ynjH' 'cheB' 'flgK' 'modA' 'motA' 'fliT' 'cheZ' 'cheR' 'fliC' 'yjcZ'
 'motB' 'tap' 'flgL' 'cheA' 'fliS' 'cheW' 'fliD' 'tsr' 'tar' 'yhjH' 'modB'
 'ves' 'cheY' 'aer' 'ycgR' 'trg' 'flgM' 'flxA' 'flgN']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,28,
comp_ops,17,
both_ops,16,
