,aceK
Cr_1,0.00027131445087779895
Cr_2,0.008341221142407316
Cr_3,0.027064600926867025
Cr_4,0.03949460471464187
Cr_5,0.0555061647639796
Cr_6,0.06439543740402101
Fe_1,-0.0249002717249768
Fe_2,-0.04265038645033765
Fe_3,-0.06916349001134782
Fe_4,-0.09492343595328546
Fe_5,-0.10255779586728428
Fe_6,-0.11391159245950293
Cd_1,0.004187209903046363
Cd_2,0.004401650656380031
Cd_3,-0.003667308200388801
Cd_4,0.010366021122425509
Cd_5,0.026653429952058848
Cd_6,0.030922691333517324
Zn_1,-0.09659675582941793
Zn_2,0.029462885965859376
Zn_3,0.4172373641972618
Zn_4,0.4948314465463471
Zn_5,0.7716092109390222
Zn_6,0.35774773861509657
Cu_1,-0.0005106909622729373
Cu_2,-0.00668955556104131
Cu_3,-0.0061508528868649045
Cu_4,-0.006045140879380093
Cu_5,-0.011231647742232564
Cu_6,-0.012886403824600151
Pb_1,0.007393778321253708
Pb_2,0.003946084513591472
Pb_3,0.01565345720726169
Pb_4,0.02266050786515528
Pb_5,0.040814536002317235
Pb_6,0.05158060401751387
