,rmf
Cr_1,-0.004420399674466109
Cr_2,-0.005820552406137044
Cr_3,-0.007734344073946802
Cr_4,-0.013802186211059985
Cr_5,-0.017587898937684084
Cr_6,-0.02515603619826413
Fe_1,-0.003126966508889837
Fe_2,-0.01991886038376576
Fe_3,-0.05553479186630983
Fe_4,-0.09551106776785466
Fe_5,-0.12572215488690794
Fe_6,-0.1455810467680756
Cd_1,0.007704254944473841
Cd_2,0.014304595698903709
Cd_3,0.023908892599648568
Cd_4,0.024969877792991087
Cd_5,0.02055993265426144
Cd_6,0.024969229113086064
Zn_1,0.0010039939397464008
Zn_2,-0.009081574872832395
Zn_3,-0.01118809440830684
Zn_4,-0.003756100096566773
Zn_5,0.01009462336246173
Zn_6,0.02449178460584843
Cu_1,0.006346641863545986
Cu_2,0.01595987517537848
Cu_3,0.021485223732811358
Cu_4,0.0271351926062926
Cu_5,0.03375105355529441
Cu_6,0.043840291371239584
Pb_1,0.0017110472526986901
Pb_2,0.007109184180683819
Pb_3,0.014452216118368947
Pb_4,0.020803444107946163
Pb_5,0.03164873014696675
Pb_6,0.04716665620749854
