,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,-2.7755575615628914e-17,1.105610189724102,3.0,0.0,1.0701750923,2.0,-1.1379290224,4.0,0.0677539301,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,3.0992919323,0.3873709943299758,3.0,1.0,2.6540858684,3.0,3.284478955,5.0,3.3593109735,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-1.297159966625,1.0478177324653852,4.0,6.0,-0.9986159359000001,20.0,-0.1535621522,40.0,-1.3636566186999999,63.0,-2.6728051597,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-2.7309103630000005,0.33862484416914956,4.0,7.0,-2.9138384546,33.0,-3.1064494517,81.0,-2.3693200315,82.0,-2.5340335142,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-10.684707187425001,1.776673032161482,4.0,8.0,-11.8846392524,51.0,-8.0687475736,65.0,-11.0893626602,76.0,-11.6960792635,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-9.752593248333332,1.9905286757889118,3.0,9.0,-10.8321546743,22.0,-10.9701157974,49.0,-7.4555092733,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-2.69389522235,0.15128388200505513,2.0,10.0,-2.8008690812,26.0,-2.5869213635,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-8.897508717466666,0.3739419862314514,3.0,11.0,-8.6721388305,54.0,-9.3291590503,83.0,-8.6912282716,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-10.604148662675,1.5165906100759046,4.0,12.0,-11.4535693267,48.0,-8.3313539333,64.0,-11.3117721742,78.0,-11.3198992165,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-2.2194794053,0.5873969372082848,4.0,13.0,-2.7611034876,38.0,-1.9184998106000002,67.0,-2.6569228999,72.0,-1.5413914230999999,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,-2.0920801994000002,0.8090182303113721,3.0,14.0,-2.1808332601,41.0,-1.2423449492,85.0,-2.8530623889,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,-1.616075423925,0.9237834854262701,4.0,15.0,-0.686916343,52.0,-1.1447238411,71.0,-2.8132733138,80.0,-1.8193881978,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,-10.468039220866666,1.0766074211853773,3.0,16.0,-11.3005049386,53.0,-9.2522226197,77.0,-10.8513901043,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,-10.384586138266668,1.5361819452576042,3.0,17.0,-11.1708942692,50.0,-8.6144264042,66.0,-11.3684377414,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,-10.042428459,0.5522336730549126,3.0,18.0,-10.5176081984,25.0,-9.4365789104,62.0,-10.1730982682,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,-2.6008465090749997,0.45993225127894427,4.0,19.0,-2.7105981475,28.0,-1.9330020197,56.0,-2.9819162849,73.0,-2.7778695842000003,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,-10.295699927600001,0.31328232929543404,4.0,21.0,-9.9904681168,34.0,-10.1495063092,45.0,-10.7189043662,58.0,-10.3239209182,,,,,,,,,,,,,,,,,,,,
