locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RcnR,link
b2106,0.45192168450000003,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",rcnAB,"RpoD,Fur,RcnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b2105,0.2464632558,rcnR,DNA-binding transcriptional repressor RcnR,Transcription,rcnR,"RpoD,RcnR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7137
