,A,RcnR
R2,,0.5336515478344557
xmin,,-3.729071764
xmid,,
xmax,,1.6594981930000001
ystart,,-5.710443839442723
yend,,3.180923846078239
control__wt_glc__1,-0.3061831907,-0.017925976
control__wt_glc__2,0.3061831907,0.017925976
fur__wt_dpd__1,-7.3189499284,-2.617371014
fur__wt_dpd__2,-8.141027375,-2.797103966
fur__wt_fe__1,-1.5706854849,-1.416558983
fur__wt_fe__2,-1.586613056,-1.608430742
fur__delfur_dpd__1,-7.1554576803,-2.650115601
fur__delfur_dpd__2,-7.5043896176,-2.40834609
fur__delfur_fe2__1,-1.5742311073000002,-1.06410706
fur__delfur_fe2__2,-1.9513745448000002,-1.304885538
acid__wt_ph5__1,-3.8471969633,-1.845199913
acid__wt_ph5__2,-3.9929595798,-1.79247517
acid__delgadx_ph5__2,-4.6600484496,-1.9027130460000001
acid__delgadw_ph5__1,-3.9046821018999998,-1.678880068
acid__delgadw_ph5__2,-4.8716632003,-1.901487189
acid__delgade_ph5__1,-4.0362434388,-1.546815348
acid__delgade_ph5__2,-4.3461802005,-1.7852020849999999
oxidative__wt_pq__1,-4.7081257317,-1.8230047790000001
oxidative__wt_pq__2,-4.8177729733,-1.6329548900000002
oxidative__deloxyr_pq__1,-5.6064094366,-0.457574468
oxidative__deloxyr_pq__2,-5.4343300291,-0.514239581
oxidative__delsoxr_pq__1,-4.8405279549,-1.777025874
oxidative__delsoxr_pq__2,-4.9487913551,-1.505390549
oxidative__delsoxs_pq__1,-5.4637649423,-1.495514604
oxidative__delsoxs_pq__2,-6.0178026803,-1.698664799
nac_ntrc__wt_csn__1,-4.8783533325,-1.805501857
nac_ntrc__wt_csn__2,-4.9236561602,-1.978120417
nac_ntrc__wt_cytd__1,-3.6172443245,-1.8387073580000002
nac_ntrc__wt_cytd__2,-3.1873695856,-2.14468099
nac_ntrc__wt_gln__1,-4.317795045,-1.900544487
nac_ntrc__wt_gln__2,-4.6215824512,-1.97218626
nac_ntrc__bw_delnac_csn__1,-5.0536455817,-1.105653898
nac_ntrc__bw_delnac_csn__2,-4.4717515243,-1.186409823
nac_ntrc__bw_delnac_cytd__1,-4.6127834406,-2.033218162
nac_ntrc__bw_delnac_cytd__2,-4.4211419471,-1.914579463
nac_ntrc__bw_delnac_gln__1,-4.9730752584,-1.405295908
nac_ntrc__bw_delnac_gln__2,-4.8321121851,-1.495119574
nac_ntrc__bw_delnac_nh4__1,1.1140704068,-0.032116265000000005
nac_ntrc__bw_delnac_nh4__2,1.2813307273,0.059181657000000006
misc__wt_no_te__1,-3.3258998671,-2.030172772
misc__wt_no_te__2,-0.0452350677,0.122642522
misc__bw_delcbl__1,0.1572217115,0.28701068
misc__bw_delcbl__2,-0.2108762113,0.28310735200000003
misc__bw_delfabr__1,-0.2938030364,0.062681811
misc__bw_delfabr__2,-0.2342896434,0.042683009
misc__bw_delfadr__1,-0.3898774733,0.28127492600000004
misc__bw_delfadr__2,0.18516353160000001,0.320505747
misc__nitr_031__1,-0.2730338759,0.643813231
omics__wt_glu__1,-1.8961426087,-0.569488534
omics__wt_glu__2,-2.4081609284,-0.641366738
omics__wt_gly__1,-1.6690595593,-0.7422238630000001
omics__wt_gly__2,-2.159791319,-0.892614471
omics__wt_thr__1,-0.7046779717,-1.100529719
omics__wt_thr__2,-0.7761606444,-1.311378556
omics__bw_ac__1,1.4412594282,0.7584774790000001
omics__bw_ac__2,1.7110553981,1.073551561
omics__bw_fum__1,1.1576257,0.43208606200000005
omics__bw_fum__2,1.1741750846,0.6369382410000001
omics__bw_glc__1,1.6301372607,0.852094671
omics__bw_glc__2,1.3543604496000001,0.971318938
omics__bw_pyr__1,1.0363037983,0.538299502
omics__bw_pyr__2,1.6308286012000002,0.814798091
ompr__wt_nacl__1,-5.5745955657,-1.285909516
ompr__wt_nacl__2,-6.0730616079,-1.479705093
ompr__bw_delompr_nacl__1,-5.701769869,-0.6995635440000001
ompr__bw_delompr_nacl__2,-5.3959203819,-0.677902898
minspan__wt_ade__1,-3.7579236467,-1.524887707
minspan__wt_glc__2,-3.8773400511,-1.747409243
minspan__wt_glc__3,-5.1484866782,-2.201270946
minspan__wt_glc__4,-5.7596625422,-2.210323099
minspan__wt_glc_anaero__1,-2.3888263083,-2.89977501
minspan__wt_glc_anaero__2,-4.0835439925,-2.819197828
minspan__wt_trp__1,-1.5366147158999999,-1.433213882
minspan__bw_delcra_glc__2,-2.2709056206,-1.661551979
minspan__bw_delcra_trp__1,-0.7396727122000001,-0.6263360490000001
minspan__bw_delmntr__1,-2.3839181146,-1.636188314
minspan__bw_delnac_ade__1,-5.6048799452,-1.8350039599999999
minspan__bw_delnac_glc__1,-3.6403756505000002,-1.485498196
cra_crp__wt_ac__1,-0.8023956722000001,-0.21172089500000002
cra_crp__wt_ac__2,-0.4991954387,-0.467842077
cra_crp__wt_fru__1,-0.9129544007,0.046521728000000005
cra_crp__wt_fru__2,-0.6290448722,0.19897631500000001
cra_crp__delcra_ac__1,0.2740315501,0.7575219870000001
cra_crp__delcra_ac__2,-0.3749869283,0.6413050100000001
cra_crp__delcra_fru__1,0.16827126250000002,0.272682374
cra_crp__delcra_fru__2,0.4854884481,0.542238766
cra_crp__delcra_glc__1,-1.5053367183000002,-0.29915903800000004
cra_crp__delcra_glc__2,-1.126840122,-0.31014831
rpoB__wt_031__1,1.2881996001,-0.20707171900000002
rpoB__wt_044__1,-0.0418848651,-0.115226062
rpoB__wt_lb__1,-5.6268098821,-3.729071764
rpoB__wt_lb__2,-5.6348383147,-2.626850745
rpoB__rpoBE546V_031__1,-0.4441732685,-0.7454372250000001
rpoB__rpoBE546V_044__1,-1.0120322031,-0.542433367
rpoB__rpoBE546V_lb__1,-5.8283175871,-2.922511758
rpoB__rpoBE546V_lb__2,-4.6281615267,-2.588513201
rpoB__rpoBE546V_glc__1,-4.0144560524,-1.58118881
rpoB__rpoBE672K_glc__1,-2.387798785,-2.087272613
rpoB__rpoBE672K_glc__2,-1.2848212729,-1.955144705
rpoB__rpoBE672K_lb__1,-4.5528593163,-3.082533402
rpoB__rpoBE672K_lb__2,-3.1441202804,-3.1359137
crp__wt_fru__1,-1.1349348765,0.15843395300000002
crp__wt_glyc__1,-0.5345718403,-0.07601572100000001
