,ymcE
Cr_1,0.0013799813908578114
Cr_2,-0.0027562800907185788
Cr_3,-0.016614295423647722
Cr_4,-0.03037545092973817
Cr_5,-0.03690561827741997
Cr_6,-0.0373735226499214
Fe_1,-0.029630104119883975
Fe_2,-0.06856571627704341
Fe_3,-0.10638144793322343
Fe_4,-0.1541398488479397
Fe_5,-0.19764232359862266
Fe_6,-0.2215214530620508
Cd_1,0.01187838541714136
Cd_2,0.020002221658845847
Cd_3,0.013231821432963873
Cd_4,0.005046904841036519
Cd_5,-0.006316459068269861
Cd_6,-0.005500240867698322
Zn_1,-0.00473444976480865
Zn_2,-0.01229402479219877
Zn_3,-0.0061110542228273316
Zn_4,0.0017721299148909825
Zn_5,0.0054557307689791674
Zn_6,0.01561267796139826
Cu_1,0.020535945169932648
Cu_2,0.027800732395809914
Cu_3,0.029200999400243514
Cu_4,0.03292151781848498
Cu_5,0.030024539834271075
Cu_6,0.02312885781833793
Pb_1,0.004916942886770653
Pb_2,0.00817016567715477
Pb_3,0.026430688621979743
Pb_4,0.04388926713277398
Pb_5,0.07632945552676113
Pb_6,0.11119211556628794
