,ybeU
Cr_1,-0.0017096975385964821
Cr_2,0.0018362468018319567
Cr_3,-0.002103084412831933
Cr_4,-0.004620838103607769
Cr_5,-0.010322682252066829
Cr_6,-0.014517632551804513
Fe_1,-0.0011953966999668267
Fe_2,-0.006571201559604749
Fe_3,-0.014765745854330334
Fe_4,-0.026337457796846545
Fe_5,-0.030899891187024693
Fe_6,-0.029724229425928183
Cd_1,0.005712779805175477
Cd_2,0.01205784046974684
Cd_3,0.016689238717286458
Cd_4,0.018205793582241454
Cd_5,0.015978555797128563
Cd_6,0.019290181922308903
Zn_1,-0.008820212179356053
Zn_2,-0.010675905396624602
Zn_3,-0.007607881086652256
Zn_4,0.0025305225317396977
Zn_5,0.013229506525983528
Zn_6,0.018259906939327056
Cu_1,-0.005009648775053177
Cu_2,-0.011378210843998834
Cu_3,-0.01302454077144561
Cu_4,-0.013068331355812065
Cu_5,-0.01309198458750325
Cu_6,-0.0112431669440407
Pb_1,-0.002607095980395058
Pb_2,-0.0029557112612989193
Pb_3,-0.003625382649763036
Pb_4,-0.0031368173469658147
Pb_5,-0.003924038476733578
Pb_6,-0.00021131972648089943
