,psd
Cr_1,-0.0030910016008888234
Cr_2,-0.006558689377048316
Cr_3,-0.007136493080079097
Cr_4,-0.006757055859544987
Cr_5,-0.006110238362566387
Cr_6,-0.004777137310119356
Fe_1,-0.007758186858529399
Fe_2,-0.016322933071194225
Fe_3,-0.021227431575568303
Fe_4,-0.032422691424667034
Fe_5,-0.036992976003605516
Fe_6,-0.02887716957308501
Cd_1,0.0008141617169416269
Cd_2,0.002093254805012931
Cd_3,0.005111642517501699
Cd_4,0.007637054403683474
Cd_5,0.00609925610704171
Cd_6,0.010164094989132256
Zn_1,-0.005335851922396039
Zn_2,-0.00663796999387549
Zn_3,0.001430815467430341
Zn_4,0.010470513287279062
Zn_5,0.011793584611279908
Zn_6,0.017222498567008998
Cu_1,0.003193831129053137
Cu_2,0.009111866482859426
Cu_3,0.009761940425675856
Cu_4,0.014809553704180285
Cu_5,0.014118586195788069
Cu_6,0.02271304694972124
Pb_1,0.00029457800030704094
Pb_2,-0.00255276204431776
Pb_3,-0.0014334636992512032
Pb_4,0.001255937553104259
Pb_5,0.00036569188730809263
Pb_6,0.004691871941126626
