,prlC
Cr_1,0.001466601895002286
Cr_2,0.00481490290015588
Cr_3,0.012989709446030529
Cr_4,0.01992122151245129
Cr_5,0.01850087955298257
Cr_6,0.015293196860881838
Fe_1,-0.014601102247201844
Fe_2,-0.03235977617464966
Fe_3,-0.045867277550689485
Fe_4,-0.06538065995866198
Fe_5,-0.08954879612877538
Fe_6,-0.10726853523008488
Cd_1,0.002123566897902374
Cd_2,0.0012033851177405653
Cd_3,0.0001045309158516162
Cd_4,-0.005213714042274114
Cd_5,-0.01143889206887312
Cd_6,-0.0109853004512846
Zn_1,-0.00044446406341091746
Zn_2,0.004338842873591222
Zn_3,0.013131160620978459
Zn_4,0.0188973603627266
Zn_5,0.016521153934023
Zn_6,0.00853311922138683
Cu_1,0.004510338668864315
Cu_2,0.005356286140949618
Cu_3,0.011495873196226003
Cu_4,0.016840215213631354
Cu_5,0.022833048570584248
Cu_6,0.02836529538889675
Pb_1,0.0038186836537104038
Pb_2,0.0014882421076622956
Pb_3,0.00814274649705958
Pb_4,0.01624453134571938
Pb_5,0.017309660759878283
Pb_6,0.01962512554932342
