,secB
Cr_1,0.005171568844432434
Cr_2,0.01152570051580326
Cr_3,0.0076801605826902
Cr_4,0.011785202030407732
Cr_5,0.0091760825719084
Cr_6,-0.0032761819101468736
Fe_1,-0.004308507339351556
Fe_2,-0.01731031400413749
Fe_3,-0.032814981098344256
Fe_4,-0.05540220378555008
Fe_5,-0.07125143901645542
Fe_6,-0.08702808140671857
Cd_1,0.016365624103292984
Cd_2,0.02551178095888993
Cd_3,-0.002932047566602915
Cd_4,-0.02216328759475942
Cd_5,-0.023283383255878698
Cd_6,0.07964193365354247
Zn_1,-0.027419070260688603
Zn_2,-0.05530396724726515
Zn_3,-0.05976013739783941
Zn_4,-0.052455616139278745
Zn_5,-0.0466364248401692
Zn_6,-0.05817931614869125
Cu_1,-0.03299964063619728
Cu_2,-0.05523441592885051
Cu_3,-0.06924831482409798
Cu_4,-0.08486111290098904
Cu_5,-0.08854393881976201
Cu_6,-0.08883530712315339
Pb_1,0.00479135616564602
Pb_2,0.007879684263883528
Pb_3,0.0135604836444506
Pb_4,0.015525988357823912
Pb_5,0.01385202354517507
Pb_6,0.01281035313670302
