,fdrA
Cr_1,0.007096392184877095
Cr_2,0.013294884203846813
Cr_3,0.01200801018783837
Cr_4,0.0023858451521509977
Cr_5,-0.007922951766949592
Cr_6,-0.028954679010981
Fe_1,-0.0365813499846339
Fe_2,-0.05622375426361401
Fe_3,-0.056991955841526415
Fe_4,-0.07115780334032751
Fe_5,-0.053236640574687744
Fe_6,-0.052813380876886966
Cd_1,0.001968517618011378
Cd_2,0.005661544325866725
Cd_3,0.01935297223944088
Cd_4,0.03142987940177933
Cd_5,0.023520510356952698
Cd_6,0.02321100878989281
Zn_1,0.0028237649744259235
Zn_2,-0.001538334218754471
Zn_3,0.019438012980521627
Zn_4,0.02115079443766998
Zn_5,0.030228625698968756
Zn_6,0.04533012921126119
Cu_1,0.00319599729155466
Cu_2,0.01277715642861437
Cu_3,0.010093214245349364
Cu_4,0.009939740371826152
Cu_5,0.014493215424801543
Cu_6,0.013929686963008298
Pb_1,-0.002866730805060605
Pb_2,-0.013833478459115558
Pb_3,-0.020287750926419847
Pb_4,-0.030761399432047056
Pb_5,-0.03133300725963468
Pb_6,-0.011484713478141105
