,-0.10484934561215528,-0.07863700920911645,-0.05242467280607763,-0.0262123364030388,2.7755575615628914e-17,0.026212336403038855,0.05242467280607768,0.07863700920911651,0.10484934561215534,0.13106168201519416,0.157274018418233,0.18348635482127182,0.20969869122431065,0.23591102762734947,0.2621233640303883,0.28833570043342716,0.3145480368364659,0.3407603732395048,0.3669727096425436,0.39318504604558246
thresh,-0.1179555138136747,0.1179555138136747,2,,,,,,,,,,,,,,,,,
unreg,0,0,9,441,3020,383,23,4,1,1,0,0,0,1,0,1,0,0,0,0
mcbR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['STM1513'],[],[],[],['STM1731'],[],['yciG'],[],[],[],[]
mcbR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['yciE' 'yciF'],[],[],[]
