,Value,list
TF,rpoS,
reg_genes,303,"['yciZ' 'puuC' 'proP' 'folK' 'ydcT' 'pfo' 'puuA' 'mdtA' 'astD' 'yafP'
 'csgF' 'ydbD' 'topA' 'dhaK' 'gpmM' 'galE' 'ftsZ' 'cfa' 'mglA' 'yciE'
 'ydcV' 'yibQ' 'pfkA' 'rpoH' 'fbaA' 'htrE' 'rssA' 'cpxR' 'glgP' 'astB'
 'cbdB' 'gadE' 'btuF' 'hdeA' 'ynfF' 'rhaS' 'hdeB' 'dinB' 'glgC' 'znuA'
 'ydhT' 'puuB' 'gapA' 'ftsQ' 'evgS' 'mdtF' 'ilvY' 'yeiL' 'astA' 'nhaA'
 'ymgC' 'alkA' 'rsmG' 'pgi' 'uspB' 'evgA' 'pqiB' 'yjiY' 'phoU' 'cbpA'
 'pdhR' 'artQ' 'yabI' 'ddpC' 'artI' 'yqiI' 'csgA' 'murR' 'tolC' 'rssB'
 'ravA' 'aceF' 'rsd' 'asr' 'csrA' 'ynfH' 'rseA' 'yaiC' 'ybiI' 'acs' 'dhaL'
 'yafO' 'hdfR' 'proW' 'rraA' 'hyaA' 'araG' 'yqiG_2' 'alkB' 'yhfG' 'csgD'
 'proV' 'yhiM' 'mnmG' 'narU' 'oxyR' 'crr' 'ybjP' 'viaA' 'sucC' 'dps'
 'adhE' 'mtn' 'ariR' 'sra' 'cbpM' 'gyrB' 'hyaF' 'yafN' 'hmp' 'lsrC' 'hchA'
 'speC' 'yjcC' 'ompN' 'rpoE' 'cpxA' 'ihfA' 'baeR' 'pabA' 'puuD' 'ydhY'
 'ansP' 'murQ' 'pcnB' 'xapB' 'bsmA' 'osmB' 'yqiH' 'crl_2' 'ddpA' 'rseB'
 'glgS' 'recF' 'ddpB' 'ompF' 'astE' 'pykF' 'ydcU' 'ppx' 'gadC' 'galT'
 'csgE' 'lsrA' 'yggE' 'appA' 'dmsD' 'hyaB' 'frdA' 'araF' 'eno' 'dkgB'
 'yihG' 'iraD' 'sucD' 'setA' 'tpiA' 'speB' 'ynfE' 'puuP' 'mutS' 'sucB'
 'frdC' 'nhaR' 'proX' 'acnA' 'epd' 'rhaR' 'gpmA' 'mdtB' 'fadL' 'pstA'
 'bolA' 'mglC' 'patD' 'cbdA' 'lsrD' 'appY' 'pqiA' 'ymgA' 'lsrG' 'gor'
 'xthA' 'ygiB' 'mdtC' 'ddpF' 'csgG' 'hofM' 'murP' 'hyaE' 'actP' 'ytfK'
 'astC' 'sucA' 'yhiD' 'frdB' 'artM' 'galM' 'ihfB' 'sohB' 'gadA' 'ddpD'
 'luxS' 'baeS' 'mpl' 'rseC' 'yddG' 'yadS' 'yciT' 'lsrF' 'envC' 'ldcC'
 'pgk' 'glk' 'mdtE' 'glgA' 'artP' 'fumC' 'treF' 'pfkB' 'araH' 'galK'
 'puuE' 'yjcH' 'dhaR' 'ddpX' 'pykA' 'iceT' 'ycgZ' 'hyaD' 'yciG' 'ftsA'
 'gadW' 'frdD' 'ydhV' 'ydhX' 'pstB' 'ygiC' 'gadX' 'gadB' 'ydhU' 'ydhW'
 'pstC' 'sgrT' 'pqiC' 'ppk' 'yffO' 'fau' 'yffP' 'dnaN' 'hyaC' 'pstS'
 'aidB' 'aceE' 'mglB' 'ada' 'lpd' 'lsrB' 'ynfG' 'dkgA' 'dhaM' 'puuR' 'phr']"
comp_genes,107,"['bfr' 'yqjD' 'ytjA' 'ydeI' 'yddH' 'mcbR' 'amyA' 'yedP' 'curA' 'yhcO'
 'rclA' 'yqjC' 'yahO' 'ycgB' 'ybdK' 'psiF' 'yfdC' 'ydiZ' 'yghA' 'adhP'
 'yqjE' 'ycgX' 'yodD' 'yebF' 'yjiN' 'yohF' 'yjdN' 'ygaM' 'ybaY' 'clsB'
 'ahr' 'ybhN' 'yebV' 'ldtE' 'ygiW' 'ydaM' 'ygdI' 'yeaH' 'ybeL' 'yjbJ'
 'yfiL' 'yncG' 'yfcG' 'ggt' 'ydcK' 'yehE' 'ybgS' 'ycaC' 'yhjY' 'yliI'
 'yeaQ' 'ybiO' 'yqjK' 'ydhS' 'ymgE' 'ubiC' 'yeaG' 'ybaA' 'yniA' 'yahK'
 'yegS' 'yhbO' 'yegP' 'yphA' 'ycaP' 'ybhP' 'yqjG']"
both_genes,40,"['otsA' 'tam' 'lhgO' 'treA' 'osmE' 'patA' 'blc' 'gabD' 'gabP' 'ybgA' 'gmr'
 'yehW' 'fic' 'sodC' 'osmY' 'ygaU' 'poxB' 'csiE' 'talA' 'osmF' 'katE'
 'gabT' 'yehY' 'tktB' 'csiD' 'mlrA' 'osmC' 'aldB' 'otsB' 'yccJ' 'msyB'
 'yciF' 'elaB' 'yehX' 'yiaG' 'wrbA' 'fbaB' 'yhjG' 'ecnB' 'ydcS']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,162,
comp_ops,91,
both_ops,30,
