,STM3796A
SRX3136375,0.0945458305
SRX3136376,-0.3002559732
SRX3136377,0.1861752716
SRX3136378,0.0195348711
SRX3136379,0.5172489509
SRX3136380,0.2119264033
SRX3136381,0.19682793980000002
SRX3136382,0.46373237110000004
SRX8914620,0.1273698403
SRX8914621,-0.0963987708
SRX8914622,-0.0309710695
SRX8914623,-0.102007897
SRX8914625,-0.0773865757
ERX3503512,0.3526680022
ERX3503513,-0.2636717693
ERX3503514,-0.0889962329
ERX3503515,0.4516758114
ERX3503516,0.080506808
ERX3503517,0.1165472667
ERX3503518,0.1789705487
ERX3503519,0.3169812432
ERX3503520,0.1829761098
SRX2195704,0.2460898872
SRX2195705,-0.2460898872
SRX2195706,0.6896574893
SRX2195707,0.2261233145
SRX2195708,0.850385583
SRX2195709,0.7082517492
SRX2195710,1.0193155779
SRX2195711,0.8030201060000001
ERX3467881,-0.10448183750000001
ERX3467883,0.10448183750000001
SRX3798491,-1.9036081304999999
SRX3798492,-2.4943090177
SRX3798499,-2.6987233407
SRX3798500,0.28753121940000004
SRX3798501,-2.5669561558
SRX3798502,-2.0970362036
SRX3798503,-0.3703833633
SRX3798504,-0.33107355380000003
SRX3798506,-0.4480703539
SRX3798507,0.1171768492
SRX3798508,0.3419929957
SRX3798509,0.12264427160000001
SRX3798510,0.061273533000000005
SRX3798517,-2.6340558264
SRX3798518,-0.1839178046
SRX4341761,0.2081762849
SRX4341762,-0.2944184917
SRX4341763,0.2077910497
SRX4341764,-0.5077729505
SRX4341765,-0.10523021240000001
SRX4341766,-0.059621277900000005
SRX4341767,0.5721054548
SRX4341768,-0.6128177763
SRX4341769,0.0407123215
SRX1258665,1.0534441185
SRX1258666,0.6768142907
SRX1258667,0.7334487229000001
SRX1258669,0.2263647335
SRX1258670,-0.2263647335
ERX2079594,0.1908063369
ERX2079595,-0.0080358915
ERX2079596,0.5291379860000001
ERX2079597,0.4800154748
ERX2079598,-0.2684320204
ERX2079599,-0.2115834544
SRX2804001,0.2527575026
SRX2804004,0.3172362649
SRX2804005,0.3885193819
SRX2804006,-0.1380487662
SRX2804007,0.30557209500000004
SRX2804008,1.3499327176
SRX2804009,-0.7568892266
SRX2804010,0.5040763093
SRX2804011,-0.2081537785
SRX2804012,-0.7746659633
SRX2804013,0.9897689315
SRX2804014,0.4472038619
SRX2804015,0.8218064612
SRX2804016,-0.450126277
SRX2804017,0.6843822371
SRX2804019,0.2232662759
SRX2804020,0.0677806868
SRX2804021,-0.6270607537
SRX2804022,0.0706771273
SRX2804023,0.3678866686
SRX2804024,-0.25689552050000003
SRX2804027,0.43812456660000004
SRX2804028,-0.34701052660000004
SRX2804029,-0.0911140401
SRX2804030,-0.3695141772
SRX2804031,-0.4211304415
SRX2804032,-0.4448382885
SRX2804033,-0.0235561185
SRX2804034,0.7896829908
SRX2804035,-0.4358574825
SRX2804036,-0.6999874773
SRX2804037,-0.5463472414
SRX2804038,0.43662184340000004
SRX2804039,0.3355655354
SRX2804040,0.0430578353
SRX2804041,0.3972253653
SRX2804042,0.2306349474
SRX2804043,0.7508356808000001
SRX2804044,-0.5625185362
SRX2804045,-0.2706249349
SRX2804046,-0.33045430940000003
SRX2804047,-0.0907055425
SRX2804048,-0.11581298870000001
SRX2804049,0.642692104
SRX2804050,-0.7324525067000001
SRX2804051,-0.3096723092
SRX2804052,-0.9295769731
SRX2804053,-0.5060741305
SRX2804054,-0.352139278
SRX2804055,-1.1372977809
SRX2804056,-0.6697796530000001
SRX2804057,-0.5755247509
SRX2804058,-0.9083558172
SRX2804059,-0.5733721014000001
SRX2070419,-1.178957742
SRX2070420,-1.1348330427
SRX2070421,-1.3758453285
SRX2070422,0.2572043858
SRX2070423,-0.0466349608
SRX2070424,0.21587588430000001
SRX2070425,-0.20985072200000002
SRX2070426,-0.0428295039
SRX2070427,0.2526802259
SRX1470895,-0.29513991500000003
SRX1470896,0.29513991500000003
SRX2409106,-0.1068580368
SRX2409107,0.2856891912
SRX2409108,-0.1788311544
SRX2409109,0.2299679221
SRX2409110,0.3654618383
SRX2409111,0.4174715418
SRX7973255,-0.47149924870000004
SRX7973256,-0.0004860813
SRX7973257,0.47198532990000003
SRX7973258,0.5296505387
SRX7973259,0.7945849157
SRX7973260,0.31504767440000003
SRX7973261,-1.4900231456
SRX7973262,-1.7873319011
SRX7973264,-0.7040275964
SRX7973265,-1.2532196834
SRX7973266,-1.0271611968
ERX3475890,-2.060713504
ERX3475891,-0.2025754006
ERX3475892,-0.2160296602
ERX3475894,-0.7849704122000001
ERX3475895,-0.8979745872
ERX3475896,-0.2139598561
ERX3475897,0.2199311619
ERX3475899,-0.0059713058
ERX3475900,-0.3525398074
ERX3475901,-1.3064311881
SRX8524961,0.4377759187
SRX8524962,-1.1992103411
SRX8524963,-1.8663936556
SRX8524964,-1.6978229992
SRX8524965,0.3212017602
SRX8524966,-0.3212017602
SRX8524967,-1.6809252882
SRX8524968,-1.9303187523
SRX8524969,-0.9263678434
SRX8524970,-0.9183696131
SRX8524971,-1.3380577436
SRX8524972,-1.7782333201
SRX3266937,0.4059879645
SRX3266939,-0.4059879645
SRX4401053,0.4687531559
SRX4401054,-0.4687531559
SRX4401055,1.2662259465
SRX4401056,0.7445592108
SRX4401057,0.2983408346
SRX4401058,0.9697297209
SRX4401081,0.1852408059
SRX4401082,0.2596005482
SRX4401083,0.7659035688
SRX4401084,0.6445886696
SRX4401085,0.917272183
SRX4401086,0.48663603
SRX4401087,-0.2181467555
SRX4401088,-0.11601755500000001
SRX4401089,-0.17500024050000001
SRX4401090,0.0406332868
SRX4401091,0.0684898016
SRX4401092,0.2058044562
SRX4401093,0.3563717648
SRX4401094,0.6015101257000001
SRX4401095,0.0664949489
SRX4401096,1.1450610547
SRX4401097,0.9143524465
SRX4401098,1.0434000118
SRX4401099,-0.3761543162
SRX4401100,0.2172420091
SRX4401101,0.1589123071
SRX4401102,0.5002014676000001
SRX4401103,0.2309874033
SRX4401104,0.19052903100000002
