,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,RichMedia__BHIN_Growth_Late,-0.34274132099999977,0.5213426964756327,2.0,0.0,-0.7113862769999997,1.0,0.0259036350000001
1,RichMedia__BHIN_Growth_Mid,-0.0003228749999997227,0.7169009341833251,2.0,2.0,0.5066026370000003,3.0,-0.5072483869999997
2,RichMedia__BHIN_Growth_Stat,0.3274891685000001,0.17913619536705103,2.0,4.0,0.4541575870000001,5.0,0.2008207500000001
3,RichMedia__LBv2_Growth_Late,0.0023120825000001455,0.6654056544479243,2.0,6.0,-0.4682007679999997,7.0,0.472824933
4,RichMedia__LBv2_Growth_Mid,2.498001805406602e-16,0.4040126846480242,2.0,8.0,0.2856801090000003,9.0,-0.2856801089999998
5,RichMedia__LBv2_Growth_Stat,-1.3117688545,0.33729582977521794,2.0,10.0,-1.073264686,11.0,-1.550273023
6,RichMedia__MHB_Rich_Mid,0.3411271660000001,0.012099185338943908,2.0,12.0,0.3496825820000002,13.0,0.33257175
7,RichMedia__NBO_Rich_Mid,0.36429596550000015,0.0247251532090563,2.0,14.0,0.3817792890000002,15.0,0.3468126420000001
8,Carbon__M9Na_Arabinose_Mid,-0.8143840049999996,0.01609456139128383,2.0,16.0,-0.8257645784999996,17.0,-0.8030034314999996
9,Carbon__M9Na_Galactose_Mid,-0.6621148604999997,0.1684021058321387,2.0,18.0,-0.7811931314999996,19.0,-0.5430365894999998
10,Carbon__M9Na_GlcNAcGrowth_Late,-0.13802253099999962,0.15075084603364566,2.0,20.0,-0.0314255854999996,21.0,-0.2446194764999996
11,Carbon__M9Na_GlcNAcGrowth_Mid,-0.029888867499999756,0.14255160137321243,2.0,22.0,0.0709103365000003,23.0,-0.1306880714999998
12,Carbon__M9Na_GlcNAcGrowth_Stat,-1.3974965064999996,0.10018835893656927,2.0,24.0,-1.3266526384999997,25.0,-1.4683403744999997
13,Carbon__M9Na_GlcNAc_Mid,-0.3785062379999997,0.20326994921306024,2.0,26.0,-0.5222397974999997,27.0,-0.2347726784999997
14,Carbon__M9Na_Gluconate_Mid,-0.5010603439999997,0.12189193314674407,2.0,28.0,-0.5872509564999997,29.0,-0.4148697314999996
15,Carbon__M9Na_Glucosamine_Mid,-0.8204404729999997,0.08109311638021509,2.0,30.0,-0.8777819654999997,31.0,-0.7630989804999997
16,Carbon__M9Na_Glycerol_Mid,-1.5281081599999995,0.7671187166240678,2.0,32.0,-0.9856733134999996,33.0,-2.0705430064999994
17,Carbon__M9Na_Maltose_Mid,-0.38681056999999974,0.17518615263755954,2.0,34.0,-0.2629352534999998,35.0,-0.5106858864999997
18,Carbon__M9Na_Mannitol_Mid,-0.7331052044999997,0.08433054184537402,2.0,36.0,-0.7927359024999996,37.0,-0.6734745064999998
19,Carbon__M9Na_Trehalose_Mid,-0.6204879844999998,0.12303749067999338,2.0,38.0,-0.5334873404999998,39.0,-0.7074886284999997
20,Carbon__M9Na_ethanol_Mid,-1.2679376579999997,0.1102012320815833,2.0,40.0,-1.3458616964999996,41.0,-1.1900136194999995
21,Carbon__M9Na_fructose_Mid,-0.6514174349999996,0.37217734930839425,2.0,42.0,-0.9145865624999996,43.0,-0.3882483074999996
22,Carbon__M9Na_fumarate_Mid,-0.4574603279999996,0.13100723534931155,2.0,44.0,-0.5500964324999997,45.0,-0.3648242234999994
23,Carbon__M9Na_glucoseGrowth_Late,0.0022584285000004506,0.1400392354233073,2.0,46.0,-0.0967642644999995,47.0,0.1012811215000004
24,Carbon__M9Na_glucoseGrowth_Mid,2.498001805406602e-16,0.28728898223705057,2.0,48.0,-0.2031439874999998,49.0,0.2031439875000003
25,Carbon__M9Na_glucoseGrowth_Stat,-1.0185107629999997,0.23289901593597248,2.0,50.0,-0.8538262894999997,51.0,-1.1831952364999996
26,Carbon__M9Na_ribose_Mid,-1.1809618439999996,0.08150821351661586,2.0,52.0,-1.2385968544999997,53.0,-1.1233268334999995
27,Carbon__M9Na_succinate_Mid,-0.44888348249999965,0.44555355341286584,2.0,54.0,-0.1338295434999996,55.0,-0.7639374214999997
28,Carbon__M9Na_sucrose_Mid,-0.8580497864999996,0.12458910357523253,2.0,56.0,-0.9461475864999996,57.0,-0.7699519864999995
29,TF__LBv2_HapROver_Late,0.07679840250000015,0.1795632482649078,2.0,58.0,-0.0501719879999997,59.0,0.203768793
30,TF__LBv2_HapROver_Mid,0.6818877720000003,0.09836557624759934,2.0,60.0,0.7514427380000002,61.0,0.6123328060000004
31,TF__LBv2_HapROver_Stat,-0.6605469904999998,0.10471585546916917,2.0,62.0,-0.7345922819999997,63.0,-0.5865016989999998
32,TF__LBv2_LuxOOver_Late,-0.6938642209999998,0.12671214501669745,2.0,64.0,-0.7834632379999997,65.0,-0.6042652039999998
33,TF__LBv2_LuxOOver_Mid,0.012671845000000306,0.24240840076851058,2.0,66.0,-0.1587367789999998,67.0,0.1840804690000004
34,TF__LBv2_LuxOOver_Stat,-0.924723796,0.15383811171696568,2.0,68.0,-0.8159438239999999,69.0,-1.033503768
