,A,CysB
R2,,0.22740458553223863
xmin,,-4.4330305179
xmid,,-2.7927200270291226
xmax,,3.9772486522
ystart,,-10.67644910421098
yend,,13.809002628669365
SRX1125282,-0.4962566103,-0.1277888639
SRX1125283,0.2470903516,-0.1394835766
SRX1125284,0.0671310566,-0.0189607874
SRX1125285,-0.11676495840000001,0.38422940310000003
SRX1125286,1.9154628484,1.3395606398
SRX1125287,3.1356278286,1.3076250607
SRX1125288,0.2683332467,0.1269884803
SRX1125289,0.3628464312,0.4347601231
SRX1125290,0.2415007988,0.5324037686
SRX1125291,0.5640898417,0.9816632017
SRX1125292,2.9227075794,1.5246939245
SRX1125293,3.0970193693,1.7517866319
SRX1125294,0.2279233636,0.0008003836
SRX1125295,-0.09843283030000001,0.0789020814
SRX1125296,0.5807450029,0.1364204376
SRX1125297,0.0115452695,0.409513528
SRX1125298,1.888774614,1.2692347137
SRX1125299,3.2333286422,1.3613592837000001
SRX5694250,0.2789940576,0.6382570215000001
SRX5694251,1.5232368996,-0.3315318367
SRX5694252,-0.4356336691,0.5764907361
SRX5694253,-1.5192514322,0.0167750786
SRX5694254,0.46301925400000005,-0.750527241
SRX5694255,-0.030757564,-0.5703463240000001
SRX5694256,-2.9603937305,-0.8555429246
SRX5694257,2.6765439434,0.13888758980000002
SRX5694258,-0.23895501460000002,-0.0554193082
SRX5694259,3.3853945649,0.2284818394
SRX5694260,0.6563751779,-0.1196698382
SRX5694261,-2.4687610343,-0.3449798935
SRX5694262,-11.5454546214,1.1169475663
SRX5694263,-5.1514928053,-0.41485102150000003
SRX5694264,-3.6243904969000003,0.0507313958
SRX5694265,-11.4366321604,-0.7274179601
SRX5694267,-0.7583000576000001,-0.178849966
SRX5694268,-1.7868927667999999,-0.4623337051
SRX5694269,-4.2950063571,-0.0059149482
SRX5694271,0.1506199554,0.2578506941
SRX5694273,-1.0675603665,-0.9428703262
SRX5694274,1.237537354,-0.22410519610000001
SRX5694275,-5.5052739301999996,-0.9213158863
SRX5694276,-4.3369560157,-0.1420263347
SRX5694277,-1.7892802962,0.0499046126
SRX5694278,-5.9959537822,-0.8714365168
SRX5694279,-0.35745402060000003,0.050923295300000004
SRX5694280,1.6874811045,-1.2156187584
SRX5694281,1.1660891479,-0.1479042026
SRX5694282,-10.9111487148,-1.6984036122
SRX5694283,-1.0510896393,-0.7096658302000001
SRX5694284,-4.5576170114,-1.1675629643
SRX5694285,-7.7524210794,-0.8004458663
SRX5694286,-5.7563109551,-0.7581876553
SRX5694287,-6.8699156724,-0.4149425651
SRX5694288,-0.3245367636,0.2654321007
SRX5694289,-5.090030885,-0.5713505280000001
SRX5694290,-3.5533164527,0.08557556990000001
SRX5694291,-0.1951626978,-0.7039500648
SRX5694292,1.3115413139,-0.029483668900000003
SRX5694293,-0.37398856540000003,0.477140883
SRX5694294,-1.9187186256,-0.254379026
SRX5694295,0.31008583030000003,-0.6794357417
SRX5694296,0.4023282253,0.1655219721
SRX5694297,-3.4566831457,1.2737312755999999
SRX5694298,-1.0977557082,-1.3039878138
SRX5694299,0.0552862171,-0.3585026432
SRX5694300,-8.552625791,-0.4365184614
SRX5694301,1.2017177422,-0.1612514081
SRX5694302,-3.1375119722,-0.33153991200000005
SRX5694303,-2.6770684418,-0.6348405651
SRX5694304,-6.1783661078,-0.3200119741
SRX5694305,1.4149153205,-0.4444153279
SRX5694306,-3.7676773275,1.2585524715
SRX5694307,-11.9096111512,-1.3723799895
SRX5694308,0.0123634498,-0.4908106057
SRX5694309,0.9309379667000001,-0.1305869494
SRX5694310,1.3752646888,-1.7433654145
SRX5694311,4.7405445927,-0.0013947216
SRX5694312,-10.1417059662,1.4866050731
SRX5694313,1.226320265,-0.2640412325
SRX5694315,-4.1406456542,-0.7181229062000001
SRX5694317,-0.9277844338000001,0.665466915
SRX5694319,-1.9852237312,0.1864304155
SRX5694320,0.7063810552,-1.0224591735
SRX5694321,-0.5489444693000001,-0.5937793484
SRX5694322,-13.4384069397,1.0941587765
SRX5694323,-0.1643616488,-0.46431013060000004
SRX5694324,-2.0445079482,-0.1644565626
SRX5694325,0.9825851501,-1.1875707491
SRX5694326,-5.0445643105,-0.9643255846000001
SRX5694327,0.3754151116,-1.3495922889
SRX5694328,-0.1766380532,0.4396449687
SRX5694329,-4.9257227884,0.2441485931
SRX5694330,-1.0647394559,1.3566370926
SRX5694331,-1.4923836934999999,0.39672072
SRX5694332,-4.1995030621,-0.0777484673
SRX5694334,-0.42609203430000003,-0.4971913264
SRX5694335,0.8357042386,0.15816996730000002
SRX5694336,-8.4845937262,-0.5915403427
SRX5694337,0.0741569487,-1.1691689314
SRX5694338,-0.5849189699,-0.6111798557
SRX5694339,-1.6971244893000001,-0.0330035617
SRX5694340,-0.3691228654,-1.4370782794
SRX5694341,-0.4799620216,-0.2496137599
SRX5694342,-4.2609115901,1.0085594271
SRX5694343,-3.0396294275,-0.0686931306
SRX5694344,-3.9352411272000003,0.145929406
SRX5694345,-1.6610851681,-0.5271852221000001
SRX5694346,-0.20552988960000002,-0.3546943853
SRX5694347,0.1815624177,-0.3219547018
SRX5694348,2.9129715119,0.0925357151
SRX5694349,0.3980221807,-0.7372962806000001
SRX5694350,-3.774303482,-1.010036914
SRX5694351,-4.496043372,-0.8607983401
SRX5694352,0.5885614538,-0.9712833334000001
SRX5694353,-3.0105957296,0.0167715041
SRX5694354,0.2721742028,-0.1513688412
SRX5694356,-5.5451411125,-0.0061755658
SRX5694357,-4.6855168035,1.0847875129
SRX5694358,-4.1135707097,-1.5934407462
SRX5694359,-5.482156861,-0.4270276556
SRX5694360,-4.2976368738,-0.6473005649
SRX5694361,-13.4175875612,1.1217405427
SRX5694362,-1.9270218161,1.2585416181
SRX5694363,2.5278060911,0.0636813822
SRX5694364,1.3916608745,-0.0133337018
SRX5694365,2.671735108,1.5457958743
SRX5694366,-3.0762751025,-0.1323879316
SRX5694367,-2.6325062116,-1.1353964961
SRX5694368,-7.2601248087,-0.7097302112
SRX5694369,-3.3159515916,-0.5563124988
SRX5694370,-4.8142841271,-0.1934761488
SRX5694371,2.5612388849,-0.19825515130000002
SRX5694372,-3.8783024202,-0.7023073118000001
SRX5694373,-3.4988409637,-0.8911994291
SRX5694374,-2.3985137315,-2.1928421267
SRX5694375,-2.6288822169,-0.5413029418
SRX5694376,-0.2651980995,0.7945932606
SRX5694377,-2.9264312057,-1.9525625749
SRX5694378,-6.5086790679,-0.5775101681
SRX5694379,-0.7514166346000001,-1.7211134954
SRX5694380,-3.0438350645,-0.37396120310000003
SRX5694381,-0.453178513,1.4563579745
SRX5694382,-2.65623118,0.1331344112
SRX5694383,-2.7313853884,-0.7439747981
SRX5694384,-0.6983970735,0.355487881
SRX5694385,2.7903975971,-0.2727169399
SRX5694386,8.2622855365,0.313498056
SRX5694387,-4.0493786689,-0.0335179569
SRX5694388,-4.225066451,-0.2553793156
SRX5694389,-1.9742636921,-1.1182911977
SRX5694390,-0.3402224675,-0.3777109308
SRX5694391,6.5899439266,0.5885746629
SRX5694392,-2.8728840547,-0.6039758748
SRX5694393,-1.7450718110999999,0.3263004036
SRX5694394,-0.3755796289,-0.0631746285
SRX5694395,2.889009037,0.3396433238
SRX5694396,-5.5710784346,-1.0674187221
SRX5694397,1.9493952537,-0.5919787753
SRX5694398,3.3022588911,-0.4019106163
SRX5694399,-0.5843072966,-0.09877907100000001
SRX5694400,-4.5248143137,-0.9548896814000001
SRX5694401,0.5934562495,-0.1088969386
SRX5694402,8.1756562247,0.4250156237
SRX5694403,-7.6197636466,-1.0019284258
SRX5694404,0.8944273924,0.015886521900000002
SRX5694405,-1.3989219388,-0.49090667520000003
SRX5694406,-2.245272232,-0.6110751355
SRX5694407,-2.3339228601,-0.5645200174
SRX5694408,-5.6348223226,-0.5614898653
SRX5694409,2.6611417695,0.734166348
SRX5694410,0.3059750797,1.5346901707
SRX5694411,-0.12197042820000001,-0.3382364861
SRX5694412,-4.450319708,-1.1691348269
SRX5694413,-7.9620389743,0.44584478860000004
SRX5694414,0.1426474383,1.5258665423000002
SRX5694415,-0.2227567235,-0.24681711010000001
SRX5694416,-0.6519983937,-0.0256824327
SRX5694417,-1.5326459578,0.33854818210000004
SRX5694418,-1.4952288281000001,-0.6370983732000001
SRX5694419,-8.9750418651,-0.6114977356
SRX5694420,-4.6781485672,-0.5410998578
SRX5694421,2.408676389,-0.8850529497
SRX5694422,-5.9244006691,-0.7208220179
SRX5694423,-8.011867364,-0.7512511667
SRX5694424,1.9744681763,-0.9811139298
SRX5694425,-0.3688300252,-0.0969980676
SRX5694426,-4.9793595996,-0.3065874301
SRX5694427,-2.3250881972,-0.26116884430000004
SRX5694428,3.6618601896,0.0336716047
SRX5694429,-4.336727107,-1.0943027239
SRX5694430,-1.7170705647000002,-0.1130868497
SRX5694431,1.3521158142,-0.009836242700000001
SRX5694432,-6.5791108699,-0.6555187719000001
SRX5694433,-6.7955879985,0.8196556917000001
SRX5694434,-3.1532465914,-1.0838742291
SRX5694435,1.8506525239,-0.9980355654
SRX5694436,1.4317906103,0.9280609037
SRX5694437,2.3529146775,0.8331836103
SRX5694438,-0.6736756846,-0.2583710287
SRX5694439,5.0885413768,-0.9599692625
SRX5694440,-0.4356512589,0.3624662853
SRX5694441,-3.4161076458,0.30206317120000004
SRX5694442,-0.5061980853,-0.1680874004
SRX5694443,-8.0286429809,-0.3856136643
