,yagB
Cr_1,0.0018622566842132772
Cr_2,0.0048832918889352645
Cr_3,0.009229464473466616
Cr_4,0.008921150957929346
Cr_5,0.008219660684751355
Cr_6,0.012353569105554574
Fe_1,-0.004025412470777948
Fe_2,-0.0266690004853915
Fe_3,-0.05825855255316883
Fe_4,-0.11705606460882845
Fe_5,-0.18114664990827892
Fe_6,-0.22353367271684665
Cd_1,0.0006820010446741268
Cd_2,0.0010803243441033462
Cd_3,0.0073334068501576125
Cd_4,0.010682169244907594
Cd_5,0.009674304438145624
Cd_6,0.015398495155232941
Zn_1,-0.0279393142920426
Zn_2,-0.016191731697853845
Zn_3,-0.008496816328031658
Zn_4,0.009281001882747856
Zn_5,0.035037388188605384
Zn_6,0.04855151314496784
Cu_1,0.0022046370214878048
Cu_2,0.0022367566791446736
Cu_3,0.00019945022300974606
Cu_4,0.0006724929891014207
Cu_5,0.0016264136987485624
Cu_6,0.008225415087254022
Pb_1,0.004903430842080403
Pb_2,0.013750009418269656
Pb_3,0.0218292561350106
Pb_4,0.02967072124563427
Pb_5,0.041247296239292464
Pb_6,0.0555863593911075
