,yqiJ
Cr_1,0.004398355263229624
Cr_2,0.009705655684365315
Cr_3,0.013987285989308812
Cr_4,0.01769171657681687
Cr_5,0.023865627297193628
Cr_6,0.029209955749913582
Fe_1,-0.009137261631487068
Fe_2,-0.016880203799035515
Fe_3,-0.01673776847446506
Fe_4,-0.015655111377005853
Fe_5,-0.00921110512903923
Fe_6,0.0015260869682314556
Cd_1,0.0013383632267505582
Cd_2,0.0032581241638759547
Cd_3,0.009765060261570941
Cd_4,0.0125975247496804
Cd_5,0.0060737836608431
Cd_6,-0.00016724354013722902
Zn_1,-0.003115806400334178
Zn_2,-0.0046641195593512454
Zn_3,0.0026185176897204504
Zn_4,0.016767160264248474
Zn_5,0.029487809686901883
Zn_6,0.04142704416720108
Cu_1,0.002383125417159803
Cu_2,0.002964962875725193
Cu_3,0.002653281769272145
Cu_4,0.001190992423837984
Cu_5,0.004872828225886757
Cu_6,0.006636310728888987
Pb_1,0.002139026902520807
Pb_2,0.008986886347227609
Pb_3,0.020102053678379028
Pb_4,0.03433787609159047
Pb_5,0.05032181614509429
Pb_6,0.06773497241445456
