,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,AB0057_PGcoculture__PGAB,0.3749264725666667,0.2939774909832818,3.0,0.0,0.48211431200000004,1.0,0.6002695359,2.0,0.042395569800000005,,
1,AB0057_PGcoculture__AB ,0.0,0.05746958052297487,4.0,3.0,-0.0636435551,4.0,0.0417749734,5.0,0.0549427566,6.0,-0.0330741749
2,AB0057_PGcoculture__ABPG,-0.376357756975,0.16930583188636145,4.0,7.0,-0.5401412941,8.0,-0.4506639631,9.0,-0.1448327273,10.0,-0.3697930434
3,AB5075_AZI__AZI_000,0.0,0.02126083386553444,2.0,11.0,-0.0150336798,17.0,0.0150336798,,,,
4,AB5075_AZI__preculture,-0.1646222337,0.016720420754783933,2.0,12.0,-0.17644535660000002,13.0,-0.1527991108,,,,
5,AB5075_AZI__AZI_040,1.1820648551000001,0.07966404494873437,2.0,14.0,1.1257338687,18.0,1.2383958415,,,,
6,AB5075_AZI__AZI_028,1.05224132095,0.045538606200277665,2.0,15.0,1.0200406637,19.0,1.0844419782,,,,
7,AB5075_AZI__AZI_003,0.052503373650000004,0.10560815556695824,2.0,16.0,0.12717961660000002,20.0,-0.022172869300000002,,,,
8,AB5075_VIR-O_AV-T__AV-T/vector,-0.044552841600000004,0.2764125919035884,3.0,21.0,0.0445219223,28.0,-0.35452041360000003,29.0,0.1763399665,,
9,AB5075_VIR-O_AV-T__VIR-O/vector,0.0,0.28380762638916196,3.0,22.0,-0.2833234739,23.0,-0.0009658398000000001,24.0,0.2842893137,,
10,AB5075_VIR-O_AV-T__VIR-O/1645,0.019345507966666665,0.21859606600079137,3.0,25.0,-0.2212913478,26.0,0.2056538427,27.0,0.073674029,,
11,AB5075_VIR-O_LSO__VIR-O,0.0,0.1430612921148002,3.0,30.0,0.11364908180000001,32.0,-0.16064866120000001,34.0,0.046999579400000005,,
12,AB5075_VIR-O_LSO__LSO,0.07838539956666667,0.10517417948230012,3.0,31.0,0.076182188,33.0,0.1846438759,35.0,-0.0256698652,,
13,AB5075_Zinc__Control,0.0,0.5813282287339129,3.0,36.0,0.2867217943,37.0,-0.6689895389,38.0,0.3822677446,,
14,AB5075_Zinc__Zinc,-0.0707918331,0.12033389067096503,2.0,39.0,-0.1558807432,40.0,0.014297077,,,,
15,AB5075_biofilm+abx__planktonic,3.700743415417188e-17,0.7873319210403102,3.0,41.0,0.7862079337000001,42.0,0.0022431814,44.0,-0.7884511151,,
