,yiaJ
Cr_1,-0.034106906416506974
Cr_2,-0.05687534097701032
Cr_3,-0.07859367568095314
Cr_4,-0.08782385024587161
Cr_5,-0.09855885711266303
Cr_6,-0.1052132636300126
Fe_1,-0.01845685746944012
Fe_2,-0.07939759513944925
Fe_3,-0.1078656372273202
Fe_4,-0.11870474367014107
Fe_5,-0.12096365679312565
Fe_6,-0.12903368061621395
Cd_1,0.0074179032339378075
Cd_2,0.011729451920981977
Cd_3,0.011866952708357808
Cd_4,0.020279078709411633
Cd_5,0.025547034542907784
Cd_6,0.04047049867482801
Zn_1,0.0108478975264565
Zn_2,0.025204149358052683
Zn_3,0.05874725090049163
Zn_4,0.047724430382649285
Zn_5,0.06311294092542012
Zn_6,0.09964457869947434
Cu_1,0.0075256856313856
Cu_2,0.01299235547854203
Cu_3,0.02341426291629167
Cu_4,0.034567271500350626
Cu_5,0.041889525603135316
Cu_6,0.04908906718394573
Pb_1,-0.003423193041679419
Pb_2,-0.016617873285290685
Pb_3,-0.0056660222149717025
Pb_4,0.01260131163607847
Pb_5,0.03403010769354108
Pb_6,0.05204880862901665
