,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,1.850371707708594e-17,0.3138928222343315,3.0,0.0,-0.1726429395,1.0,-0.1896758408,2.0,0.36231878030000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,1.8326505281666667,0.26447794815336007,3.0,3.0,1.763494187,4.0,1.6096211767000002,5.0,2.1248362208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,0.5116076061,0.2428252425672401,3.0,6.0,0.2604855054,7.0,0.5291530727,8.0,0.7451842402000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761920355388413e-12,0.6106227224792962,21.0,9.0,0.4107914459,10.0,0.24918523350000002,11.0,-1.1638294673,12.0,0.6952025946,13.0,0.1531585303,14.0,-0.6405923438000001,15.0,-0.3743369428,16.0,-0.31668770960000003,17.0,-1.0060677909,18.0,1.4911430115,19.0,0.2543793462,20.0,-0.0170397018,21.0,-0.1534475268,22.0,-0.3114852663,23.0,-0.10603793060000001,24.0,0.776228884,25.0,0.352777386,26.0,0.41337769360000004,27.0,-0.2779804942,28.0,-0.5420735755,29.0,0.1133346239
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,1.9443862396095237,0.7036434695506439,21.0,30.0,2.0498374559,31.0,2.1423927742,32.0,2.3216695451,33.0,2.4371935158,34.0,2.1675530494,35.0,2.6212968488,36.0,2.2317224037,37.0,2.4658641099,38.0,1.6509714014,39.0,2.09151322,40.0,2.0369399191,41.0,2.0897753932,42.0,2.4205099648,43.0,2.0480583971,44.0,2.441558148,45.0,2.0175669726,46.0,-0.7486541291000001,47.0,1.5830243294000002,48.0,1.7273461731,49.0,1.2154697066,50.0,1.8205018328
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,0.0823944114767962,3.0,51.0,-0.0863188327,52.0,0.0085092593,53.0,0.0778095734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,0.597993543725,0.19283899865344947,4.0,54.0,0.6715418946,55.0,0.3210321651,56.0,0.6335364607,57.0,0.7658636545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.05895031195958554,4.0,58.0,-0.0431729934,59.0,-0.0578311699,60.0,0.0581226383,61.0,0.042881525000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.279687428025,0.07950628320491764,4.0,62.0,0.2984375016,63.0,0.21395298170000002,64.0,0.22197801690000002,65.0,0.3843812119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.0691773935,0.026870771971874825,4.0,66.0,0.0837142332,67.0,0.058084645000000004,68.0,0.09766971120000001,69.0,0.0372409846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
