,chbA
Cr_1,-0.002027852661418211
Cr_2,0.0037007225226095945
Cr_3,0.02461135614962512
Cr_4,0.039844746216443
Cr_5,0.05547768237816856
Cr_6,0.07715629912611915
Fe_1,-0.002274116239211108
Fe_2,0.08420150833972366
Fe_3,0.21284710813755547
Fe_4,0.29916693722570004
Fe_5,0.34314127623487123
Fe_6,0.35771638736238026
Cd_1,0.00022854763065553876
Cd_2,-0.005120235266037887
Cd_3,-0.01473938491489506
Cd_4,-0.028224821713580418
Cd_5,-0.04396779865620402
Cd_6,-0.05323974913766129
Zn_1,0.0064681008199014576
Zn_2,0.03556849960876947
Zn_3,0.07158930709504947
Zn_4,0.08660721038014166
Zn_5,0.08933767144929751
Zn_6,0.0843267104229346
Cu_1,-0.002146809016821133
Cu_2,0.015076568074159994
Cu_3,0.04438056320121463
Cu_4,0.07296954045292893
Cu_5,0.10280619828243401
Cu_6,0.12894807520543794
Pb_1,-0.0014496001490974595
Pb_2,0.001971637412471334
Pb_3,0.01234119738445818
Pb_4,0.021155751204654464
Pb_5,0.035028056706562304
Pb_6,0.050829159246258034
