,-0.14487867878302638,-0.12878104780713456,-0.11268341683124275,-0.09658578585535094,-0.08048815487945912,-0.06439052390356731,-0.048292892927675496,-0.03219526195178368,-0.01609763097589187,-5.551115123125783e-17,0.016097630975891758,0.03219526195178357,0.048292892927675385,0.0643905239035672,0.08048815487945901,0.09658578585535083,0.11268341683124264,0.12878104780713442,0.14487867878302627,0.1609763097589181
thresh,-0.1529274942709723,0.1529274942709723,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,2,14,97,1116,3212,913,160,30,11,8,1,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
