,umuD
Cr_1,-0.007563551195556954
Cr_2,-0.006268783945819293
Cr_3,0.0014410051029083962
Cr_4,0.008716435320798374
Cr_5,0.012212882226803988
Cr_6,0.024557167401331563
Fe_1,-0.004701860240625474
Fe_2,-0.019439048333322124
Fe_3,-0.02997376391295075
Fe_4,-0.04229532199244443
Fe_5,-0.0603753240505632
Fe_6,-0.0848541445728843
Cd_1,0.009894648061762322
Cd_2,0.019416742098226903
Cd_3,0.032548748562652954
Cd_4,0.0448130013154126
Cd_5,0.053615274513126115
Cd_6,0.0661140462191688
Zn_1,0.006925376723409892
Zn_2,0.023159998957288718
Zn_3,0.02834311841598316
Zn_4,0.036587118952009126
Zn_5,0.05245248961411297
Zn_6,0.08777123318286162
Cu_1,0.006309951290251593
Cu_2,0.011244887656837852
Cu_3,0.02173831347937891
Cu_4,0.02310335364515417
Cu_5,0.0251558018603916
Cu_6,0.02602288704357926
Pb_1,-0.009233373573218602
Pb_2,-0.011473379780178235
Pb_3,0.010557988516410514
Pb_4,0.030935370652815063
Pb_5,0.05260631347484138
Pb_6,0.07411764224058873
