,A,MalT
R2,,0.32443268943652404
xmin,,-6.4819583138
xmid,,-1.7849636427107332
xmax,,3.5403509201
ystart,,-5.861521624857402
yend,,11.667890263164333
aat__00m_00s__1,0.1973317172,-0.0421530771
aat__00m_30s__1,-1.486790095,-0.13979306090000002
aat__01m_00s__1,-1.1795621864,-0.3481703916
aat__02m_00s__1,-1.1935214639,-0.9522119907000001
aat__05m_00s__1,-1.6760236784,-0.9543497950000001
aat__10m_00s__1,-2.9113159277,-1.3576652188
aat__00m_00s__2,-0.11089216660000001,0.09257244590000001
aat__00m_30s__2,-0.6261078672,0.442924656
aat__01m_00s__2,0.5174843738,-0.49178861160000004
aat__02m_00s__2,-0.8731495543000001,-0.9239108882
aat__05m_00s__2,-1.6018534989000002,-1.0289057629
aat__10m_00s__2,-1.3086094096,-0.9846491364000001
aat__00m_00s__3,-0.0864395505,-0.0504193688
aat__00m_30s__3,-0.9449364962000001,0.0040499329
aat__01m_00s__3,-0.7793078212000001,-0.439872303
aat__02m_00s__3,-1.2161637682,-0.9780992362
aat__05m_00s__3,-1.3517032114,-0.7038655547
aat__10m_00s__3,-1.7896022784,-0.6658883326
abx_mega__dmso-2__1,5.0671488554,0.1042526396
abx_mega__ery_dmso__1,-5.0589824694,-3.5855458133
abx_mega__nal_naoh__1,10.7802374655,0.0590993654
abx_mega__dmso-5__1,5.5230144321,0.0233719642
abx_mega__rif_dmso__1,3.9688146616,-1.2071097522
abx_mega__novo_h2o__1,-3.7873620595,-5.320766771
abx_mega__rach_dmso__1,10.6575652242,0.5963830878
abx_mega__metro_dmso__1,0.938854559,-0.6947851465
abx_mega__dmso-6__1,6.4386686494,0.0387568308
abx_mega__chl_h2o__1,-5.5581750092,-4.5741565274
abx_mega__cst_h2o__1,9.8638046767,0.6122148051
abx_mega__tec_h2o__1,9.4399279048,-1.5207081091
abx_mega__str_h2o__1,9.911172305200001,-0.5078269382
abx_mega__ctx_h2o__1,9.5328821453,0.7359499305
abx_mega__nal_naoh__2,0.40215821960000003,0.11815589130000001
abx_mega__phos_h2o__1,10.7122112514,0.4512335019
abx_mega__dmso-5__2,5.2151257035,0.0049413569
abx_mega__polmyx_h2o__1,6.7479797666,0.7561002775
abx_mega__h2o-8b__1,8.3526046694,0.7089338724
abx_mega__h2o-6__1,-2.0872632702,0.5028522368
abx_mega__thio_dmso__1,5.1355059018,-0.7043330166
abx_mega__phos_h2o__2,3.9802366734,0.8364815138
abx_mega__ctx_h2o__2,10.6124037896,0.9688154788000001
abx_mega__lzd_dmso__1,-0.9376114806,-1.5787926735
abx_mega__naoh-9__1,7.8718401432,0.607566182
abx_mega__dox_dmso__1,0.8851950288,-0.6282958052000001
abx_mega__phos_ethanol__1,-2.0693548084,0.3624495155
abx_mega__teix_dmso__1,9.6170443792,-0.4307489504
abx_mega__dmso-10__1,1.8969295704,0.5857668329
abx_mega__van_dmso__1,1.5020650512,-4.505753179
abx_mega__ramo_h2o__1,9.9703605085,-0.0571589739
abx_mega__tec_h2o__2,8.3302560203,-1.0234821538
abx_mega__h2o-7__1,10.1443102991,0.6898981759
abx_mega__cro_h2o__1,10.3503870623,0.7065736429
abx_mega__tric_ethanol__1,8.9756675219,-0.9704843016
abx_mega__nor_naoh__1,1.4357680955,0.5158632429000001
abx_mega__teix_dmso__2,6.0839015379,0.2320595238
abx_mega__nal_naoh__3,0.1549843179,0.1355072927
abx_mega__novo_h2o__2,-4.6402017888,-5.1705960225
abx_mega__dmso-10__2,4.1236540998,0.3922009638
abx_mega__phos_h2o__3,-2.1238273271,0.6913766858
abx_mega__dmso-6__2,3.8137450699,-0.0375476982
abx_mega__rfp_ethanol__1,0.5131784516,-2.543525919
abx_mega__dmso-5__3,4.412820075,0.2002015725
abx_mega__amyc-d_dmso__1,-6.1823833071,-3.5020960050000003
abx_mega__sxt_dmso__1,9.7506519502,0.2126066912
abx_mega__dmso-1__1,3.3086006531,-0.2255535539
abx_mega__pen_h2o__1,10.5961604108,-0.2124565165
abx_mega__dmso-10__3,3.3198641711,0.6823386033000001
abx_mega__nal_naoh__4,7.779700872,0.3005440266
abx_mega__cip_naoh__1,8.268716419,0.21913292920000002
abx_mega__pen_h2o__2,9.8936055755,0.1356363905
abx_mega__ery_dmso__2,-5.3671758971,-3.7565266819
abx_mega__dmso-2__2,8.8563558438,0.2041165989
abx_mega__van_dmso__2,0.6076064496,-5.0783158435
abx_mega__h2o-1b__1,2.0950826548,-0.5749023115
abx_mega__ery_h2o__1,-3.1903517139,-2.5608352823000002
abx_mega__bacit_h2o__1,7.5186319216,-1.0609081723
abx_mega__chl_h2o__2,-6.9612470772,-3.2714297294
abx_mega__str_h2o__2,9.998284913300001,-0.5628787449
abx_mega__rfp_ethanol__2,4.0204498676,-1.3342196652
abx_mega__polmyx_h2o__2,9.91390034,0.6043994435
abx_mega__tric_h2o__1,-4.9920711544,0.058470686300000005
abx_mega__cip_naoh__2,3.4445174834,0.46499627460000004
abx_mega__novo_h2o__3,-4.7402679696,-5.1093078536
abx_mega__bacit_dmso__1,6.2810207081,-0.2913926094
abx_mega__gen_h2o__1,-1.1568376627,-3.3464788657
abx_mega__bacit_dmso__2,5.9958364764,-0.3819051081
abx_mega__chl_dmso__1,-2.3972261498,-3.5128728854
abx_mega__bacit_h2o__2,3.6647170274,-1.8966400049
abx_mega__lvx_dmso__1,11.4875444738,0.5312186681000001
abx_mega__bacit_h2o__3,5.0711828912,-1.2649910518
abx_mega__nor_naoh__2,0.6004056674,0.37609706270000004
abx_mega__amyc-d_dmso__2,0.41080665800000005,-1.1820447836
abx_mega__polmyx_h2o__3,6.4915631489,0.6224224238
abx_mega__naoh-6__1,-1.6270351207,0.440928955
abx_mega__cst_h2o__2,2.2719185711,0.10474356080000001
abx_mega__h2o-1b__2,0.2756596248,-1.3600377116
