,btuB
Cr_1,-0.0041281489804551215
Cr_2,-0.006684395515723594
Cr_3,-0.014452132310396562
Cr_4,-0.018044019048225373
Cr_5,-0.012042654360857745
Cr_6,-0.0040576215649153115
Fe_1,0.03200947759709764
Fe_2,0.06620070548026054
Fe_3,0.10248125590762154
Fe_4,0.13964057224751306
Fe_5,0.061109759600738486
Fe_6,-0.03669960209821708
Cd_1,0.013023474638386491
Cd_2,0.03141210850206901
Cd_3,0.05303612204578959
Cd_4,0.0757662891910437
Cd_5,0.08748125934680456
Cd_6,0.10830676548130068
Zn_1,-0.023129442499463724
Zn_2,-0.0402919120469754
Zn_3,-0.04946765706639695
Zn_4,-0.052886589440041945
Zn_5,-0.05442664584247462
Zn_6,-0.05081310200264697
Cu_1,0.01228646312697037
Cu_2,0.019095312147276427
Cu_3,0.027720663670512215
Cu_4,0.03880687796039975
Cu_5,0.04897590931324252
Cu_6,0.061669144474576734
Pb_1,0.00510607484846773
Pb_2,0.01392858860132542
Pb_3,0.024463925638561968
Pb_4,0.034153590410295635
Pb_5,0.02768341141089846
Pb_6,0.03644723226127662
