,yaiP
Cr_1,-0.0071821662717595
Cr_2,-0.008920643916583376
Cr_3,0.002604995802158768
Cr_4,0.01471717556505858
Cr_5,0.03085872770377748
Cr_6,0.0433359794000605
Fe_1,-0.010663833413545544
Fe_2,-0.03731853312557998
Fe_3,-0.08372561827680622
Fe_4,-0.1473950877429994
Fe_5,-0.20909519967182816
Fe_6,-0.26546087635092314
Cd_1,0.0031440298444198045
Cd_2,0.010779828738262184
Cd_3,0.02109584409865676
Cd_4,0.02710961285376681
Cd_5,0.035262437383804884
Cd_6,0.051473328508931625
Zn_1,0.003294254208455671
Zn_2,0.016334220919251366
Zn_3,0.029883682594758938
Zn_4,0.03738706019430337
Zn_5,0.05351678054512806
Zn_6,0.057980799121902925
Cu_1,0.008590240782431325
Cu_2,0.0117488377974872
Cu_3,0.013490513288688787
Cu_4,0.00947223533945666
Cu_5,0.011309979883921257
Cu_6,0.017491156199466756
Pb_1,0.012216076338485954
Pb_2,0.022434036156485024
Pb_3,0.035450109387721536
Pb_4,0.05553685347888992
Pb_5,0.07568974973766501
Pb_6,0.08803560467627172
