,A,XylR,Crp
R2,,0.7146396368126533,0.0
xmin,,-2.3367741295,-9.852476477
xmid,,0.464192159980783,
xmax,,5.6208131175,1.6003325529999999
ystart,,0.7737930086881115,1.2759916668646623
yend,,32.40792333232286,1.2759916668646623
control__wt_glc__1,-0.1453602458,-0.0210226615,0.012478646000000001
control__wt_glc__2,0.1453602458,0.0210226615,-0.012478646000000001
fur__wt_dpd__1,2.5540584904,-0.0620496205,0.077574131
fur__wt_dpd__2,2.9595460371,-0.2289490085,-0.090682171
fur__wt_fe__1,0.0424222251,-0.0861196625,-0.030513673
fur__wt_fe__2,0.5943333343,-0.0785204545,0.05819072
fur__delfur_dpd__1,2.6585026690999998,-0.1984341635,-0.105981984
fur__delfur_dpd__2,2.5667060579000003,-0.3243135625,-0.22346684100000003
fur__delfur_fe2__1,1.0068072141,0.1927704245,0.436429913
fur__delfur_fe2__2,0.7365962625,0.1981758275,0.367563393
acid__wt_ph5__1,0.6442560967000001,0.0214346135,0.345522573
acid__wt_ph5__2,0.8890623998,0.0010440805000000001,0.343136463
acid__delgadx_ph5__2,0.836429602,-0.1676055415,0.33938771300000004
acid__delgadw_ph5__1,0.6802853636,0.047923349500000004,0.383863793
acid__delgadw_ph5__2,0.763818938,0.0699076615,0.33986178300000003
acid__delgade_ph5__1,1.0676538018,-0.0765895915,0.43240872300000005
acid__delgade_ph5__2,0.7511793855000001,0.1948334535,0.482436193
oxidative__wt_pq__1,4.0342523579,0.4778243105,0.17662370300000002
oxidative__wt_pq__2,3.2191565266,0.6718043045000001,0.24038529300000003
oxidative__deloxyr_pq__1,3.0249952109,0.6059674985,0.513155013
oxidative__deloxyr_pq__2,2.6634668512,0.6572059075000001,0.536337303
oxidative__delsoxr_pq__1,3.4848758945,0.3893045465,0.334672533
oxidative__delsoxr_pq__2,3.3672759896,0.2536901675,0.387059873
oxidative__delsoxs_pq__1,3.8812754174,0.4753852255,0.513462963
oxidative__delsoxs_pq__2,4.1577822665,0.5474407745000001,0.5104807530000001
nac_ntrc__wt_csn__1,1.7999887637,0.14405170050000002,-0.07279683
nac_ntrc__wt_csn__2,1.6164640204,-0.013747064500000001,-0.093243951
nac_ntrc__wt_cytd__1,1.177174466,0.09324934750000001,-0.043119613
