,A,Fnr,Fur,NagC
R2,,0.11739165837134768,0.020322644743630214,0.005942267499992493
xmin,,-7.8525940196,-9.893921886,-4.111981838
xmid,,-1.8242746403611148,-0.36276145257595765,-1.997279529446369
xmax,,4.4171410107,3.7262191745,2.9150698085
ystart,,3.0746791459061074,1.2550445190414299,0.12259783639312094
yend,,-5.562159204701121,-2.082422039387129,2.0128639829643125
aat__00m_00s__1,0.32983886560000003,-0.0825740115,-0.019353005700000002,-0.0092356068
aat__00m_30s__1,1.1335290904,0.16485310350000001,0.2305871583,-0.011277240800000001
aat__01m_00s__1,1.7995824451,0.7752711503,0.7275786303,0.1831125201
aat__02m_00s__1,0.5426015713,0.9066270852,1.208661552,-0.0727427819
aat__05m_00s__1,0.0300235698,0.95171602,1.1169083627,-0.0716070736
aat__10m_00s__1,0.0363499238,1.0192587317,1.0786663615,-0.1892561649
aat__00m_00s__2,-0.7662660845,0.1234264677,-0.0089366757,-0.1073138917
aat__00m_30s__2,1.0812435063999999,0.4334180231,0.5340986209,-0.0517347388
aat__01m_00s__2,0.8033976650000001,0.7979562918,0.8046125807000001,0.13172830160000001
aat__02m_00s__2,-0.2646036918,0.8964971719,1.2652089755,0.042467008800000004
aat__05m_00s__2,-0.5530253977,0.9047534472000001,0.9467520126000001,-0.01104554
aat__10m_00s__2,0.2633238116,0.9185125141,1.0346662242,-0.07699831210000001
aat__00m_00s__3,0.4364272189,-0.040852456200000005,0.028289681400000002,0.11654949860000001
aat__00m_30s__3,1.2699101831,0.2208704434,0.43446716560000004,-0.037930941600000004
aat__01m_00s__3,1.7125031248,0.7920547098,0.6134168988,0.0372191891
aat__02m_00s__3,0.9407812065000001,0.8818752216,1.29823639,0.0914273687
aat__05m_00s__3,0.2070085659,0.9825066807,1.3466842796,-0.0199528884
aat__10m_00s__3,-0.1921914951,0.9444446514,1.1321686126000001,-0.095244332
abx_mega__dmso-2__1,2.2130888592,0.0403637158,0.15514151240000001,1.6269773445
abx_mega__ery_dmso__1,-3.2494620997,0.5459244040000001,0.4377684502,-1.081950516
abx_mega__nal_naoh__1,-0.9218655707000001,-0.6791990309,-0.4062446666,1.0826720391
abx_mega__dmso-5__1,-0.1043593975,0.0078028844000000005,0.46838079790000003,0.2668937872
abx_mega__rif_dmso__1,-1.0463225769,-1.3129271236,0.6257311257,-0.4656958571
abx_mega__novo_h2o__1,-8.4505392938,0.20689053170000002,1.2222652304000001,-0.7167168558
abx_mega__rach_dmso__1,0.1235352781,-0.045048951000000004,0.18962784700000002,0.2810378551
abx_mega__metro_dmso__1,-3.4449740499,0.4656249649,1.1965334314,0.6192041632
abx_mega__dmso-6__1,0.1877594089,-0.3784852643,0.2926141826,0.6337328935000001
abx_mega__chl_h2o__1,-7.2405072897,0.3019332691,0.14519100170000002,-2.0538261577
abx_mega__cst_h2o__1,0.3865293229,0.0320312785,-0.0246486099,0.8506870400000001
abx_mega__tec_h2o__1,-2.5608214601,-2.6112045671,-1.6263367794999999,1.1448666082
abx_mega__str_h2o__1,5.1791474884,0.2482154852,-0.8044302194,1.2990239995000001
abx_mega__ctx_h2o__1,1.0993018448,0.0230880885,-0.0720290764,0.8448067231
abx_mega__nal_naoh__2,0.8637903073000001,0.3075812793,0.463461864,-0.0306185905
abx_mega__phos_h2o__1,-2.2943174755,-0.7038356709,-0.5470965469,-0.0148224145
abx_mega__dmso-5__2,0.0447085211,-0.2244639849,0.30733720410000004,0.11680142810000001
abx_mega__polmyx_h2o__1,0.7978219001,0.32801548280000004,-0.2169944251,0.5068170506
abx_mega__h2o-8b__1,0.8739320512000001,-0.0363903054,-0.0938650437,0.7429699565
abx_mega__h2o-6__1,1.0439318543,0.1539794799,0.2777125167,0.555454063
abx_mega__thio_dmso__1,-3.9948975772,-0.315089026,-0.7033619888,-0.6616906888
abx_mega__phos_h2o__2,0.030342881300000003,-0.19593564700000002,-0.2520653392,0.5850591669
abx_mega__ctx_h2o__2,-1.1651092095,0.1826918599,-0.7046253372,0.36553989670000003
abx_mega__lzd_dmso__1,-3.6738722116,0.6125076868,0.0317203545,-0.5899010449000001
abx_mega__naoh-9__1,0.0526117181,0.518483773,0.233701549,0.8978430859000001
abx_mega__dox_dmso__1,-5.1134662393,0.6077452839,-0.40180014550000004,-0.46783111850000003
abx_mega__phos_ethanol__1,-2.2947514824,0.7489705412000001,-0.2256123391,-0.01566169
abx_mega__teix_dmso__1,-0.769744701,-1.2905505804000001,-0.0690208313,0.057036416300000004
abx_mega__dmso-10__1,-1.5739364861,0.4743514224,0.0975378159,0.6443742243
abx_mega__van_dmso__1,-5.8826170867,0.8302627999000001,0.9722225077000001,-2.8238857419
abx_mega__ramo_h2o__1,-0.614647911,-0.8002749045,-0.3926104231,0.0187590522
abx_mega__tec_h2o__2,-2.517745816,-1.6551107114999999,-0.011125823600000001,0.2901036194
abx_mega__h2o-7__1,-2.794884987,0.21844817860000001,-0.1153333252,0.1866674223
abx_mega__cro_h2o__1,-1.7050822443,0.0879280571,-0.43185484830000004,0.3703709584
abx_mega__tric_ethanol__1,0.026257738200000002,0.8900785727,0.4129649769,0.7103196087
abx_mega__nor_naoh__1,0.9173845904000001,-0.0313845657,-0.2012607397,0.3259563981
abx_mega__teix_dmso__2,-1.1676580726,-0.4150383489,0.3114276031,-0.1177973429
abx_mega__nal_naoh__3,0.15897539360000001,0.2272209504,0.4279505287,0.1608361171
abx_mega__novo_h2o__2,-5.4937563846,0.16806743940000002,1.2267004369,-0.8902225289000001
abx_mega__dmso-10__2,-2.0683141462,0.40832126950000003,-0.1819792789,0.6643368338
abx_mega__phos_h2o__3,1.4000010543,0.0877333852,0.0923447817,0.4265957848
abx_mega__dmso-6__2,-0.9706153816,-0.1654402185,0.4137604635,0.3354364784
abx_mega__rfp_ethanol__1,-4.8060018606,-0.12067474560000001,-0.0411889955,-0.8428066038
abx_mega__dmso-5__3,-0.8335380757,0.1613415464,0.4465032129,0.5145304886000001
abx_mega__amyc-d_dmso__1,-4.1119852639,0.257224454,1.1929509728,-1.2971052233
abx_mega__sxt_dmso__1,-2.3072664901,0.047755995,-0.24377161500000002,-0.2397275007
abx_mega__dmso-1__1,-0.3526068725,-0.1308553567,0.1022267718,-0.159132977
abx_mega__pen_h2o__1,2.7399509741,-0.3609283863,-0.08204266710000001,-0.2374222229
abx_mega__dmso-10__3,-2.1100557894,0.20815252,-0.40016228400000003,0.6493332757
abx_mega__nal_naoh__4,-1.0383109643,0.0028938907,-0.1309359008,0.3879280118
abx_mega__cip_naoh__1,-0.9103973945,0.11078089020000001,0.0090969511,0.47474431990000004
abx_mega__pen_h2o__2,1.5570295569,-0.2836689398,-0.1838030893,0.13597547440000002
abx_mega__ery_dmso__2,-3.7168299869,0.0804674744,0.46724588110000004,-1.4877988967
abx_mega__dmso-2__2,1.0814479193,-0.2221077391,-2.4282303025,1.9450803012
abx_mega__van_dmso__2,-3.2753459489,0.6605546913,0.9629089327,-2.4856737214
abx_mega__h2o-1b__1,0.5917630727000001,0.030807355300000002,0.12368935310000001,-0.1798021777
abx_mega__ery_h2o__1,-5.2120945398,0.1635488437,0.8900661546,-1.15992588
abx_mega__bacit_h2o__1,-5.0133267761,-0.4774994905,-0.3167585807,-0.6692442792000001
abx_mega__chl_h2o__2,-5.3451399509,0.0987552064,-0.2278540168,-1.8948048446999999
abx_mega__str_h2o__2,5.1444349166,0.2741965069,-1.2068082598,1.1983774423
abx_mega__rfp_ethanol__2,-3.3810101326,0.12295077100000001,-0.22732878210000002,-0.7785826186
abx_mega__polmyx_h2o__2,2.2743660381,-0.3737381984,-0.6056212274,0.5182227065
abx_mega__tric_h2o__1,-0.7968403548,1.3424886167,0.20430109170000002,0.7536024934000001
abx_mega__cip_naoh__2,0.8354885173000001,0.09932130680000001,0.2181452225,0.211646566
abx_mega__novo_h2o__3,-5.5771920161,0.0559133562,1.1462812854,-0.856840534
abx_mega__bacit_dmso__1,0.4161956893,-0.2242105774,0.3636055414,-0.1496320968
abx_mega__gen_h2o__1,-1.9416766845,0.41129122560000003,0.4631088042,-0.8212364943
abx_mega__bacit_dmso__2,0.0487103902,-0.2049744387,0.2378312514,-0.506671258
abx_mega__chl_dmso__1,-2.7280102941,0.1866328231,0.3246086132,-1.2336180156
abx_mega__bacit_h2o__2,-1.2009370201,-0.8589924069,0.5482222344000001,-0.7079814684
abx_mega__lvx_dmso__1,-1.4405535784,-0.18501779240000002,-0.010888811600000001,-0.0076499208
abx_mega__bacit_h2o__3,-4.4969827268,-0.3986390476,-0.2638272614,-0.5318694354
abx_mega__nor_naoh__2,0.9689462390000001,-0.11461450370000001,-0.036860092500000004,0.2491877017
abx_mega__amyc-d_dmso__2,-0.3472535009,0.1534325597,1.0691590726,-0.6864073031
abx_mega__polmyx_h2o__3,0.9392347813,0.4256416268,-2.3252710335,1.9276518996
abx_mega__naoh-6__1,1.4982122431,0.1918842788,0.4110728621,0.5940377444
abx_mega__cst_h2o__2,0.16886584540000002,0.2575678173,0.20007652210000001,-0.0361454542
abx_mega__h2o-1b__2,-2.1987890851,0.7809611414000001,0.1010918916,-0.2162920575
abx_mega__rfp_h2o__1,-4.3318868377,-1.0905972262999999,0.3957199563,-0.919033296
abx_mega__tet_h2o__1,-2.0219189956,0.0295461953,0.3948733358,-1.3500222375
abx_mega__flavo_dmso__1,0.15856387560000001,-0.9098451584,0.3573052694,-0.0944608504
abx_mega__zeocin_h2o__1,1.1474726467,0.11093211330000001,-0.4525821431,0.6655179959
abx_mega__nor_naoh__3,1.0421648415,-0.2660034833,-0.0191556582,0.2237272806
abx_mega__rach_dmso__2,-1.4395262319,0.1360391327,0.0293777617,0.5655686312
abx_mega__thio_dmso__2,-7.54858404,0.3253789217,0.9859149752,-1.9964862935
abx_mega__amyc-d_dmso__3,-4.5177679334,0.33467356740000004,0.6808311431,-1.6305600009
abx_mega__rif_dmso__2,-2.1187398224,-0.7654036895,0.5317095390000001,0.4720506887
abx_mega__amyc-d_dmso__4,0.47444759080000004,0.0720316185,0.9360842386,-0.49530854820000003
abx_mega__teix_dmso__3,-0.295287619,-0.1127364899,0.0201775326,0.0929201516
abx_mega__valin_dmso__1,-0.4946511897,-0.1452747475,-0.1146899157,0.105287958
abx_mega__teix_dmso__4,-0.7200265449000001,-0.2103049645,0.2708414096,0.08839582900000001
abx_mega__ethanol-10__1,1.0503857304,0.6194313426,-0.1572171319,1.1451944752
abx_mega__inh_h2o__1,-0.0032016527,-0.0340580552,-1.0886919379,0.454112669
abx_mega__rif_dmso__3,-2.0701873974,-1.5589165824,0.144184582,-0.9692887776
abx_mega__van_dmso__3,-1.5634792731,0.2389667466,1.3811692108,-2.3196636178
abx_mega__doxo_dmso__1,-4.3427448749,-0.1301723133,-0.114163683,0.9312642226000001
abx_mega__tmp_dmso__1,-2.0642793292,0.0567992999,-0.011465710300000001,0.1669239572
abx_mega__ethanol-10__2,1.2383965407,0.4463184544,-0.5847029634,0.8435389637
