,-0.11673077916499686,-0.09079060601721978,-0.0648504328694427,-0.03891025972166562,-0.01297008657388854,0.01297008657388854,0.03891025972166562,0.0648504328694427,0.09079060601721978,0.11673077916499686,0.14267095231277394,0.16861112546055101,0.1945512986083281,0.22049147175610517,0.24643164490388225,0.27237181805165933,0.2983119911994364,0.3242521643472135,0.35019233749499057,0.37613251064276765
thresh,-0.10376069259110832,0.10376069259110832,6,,,,,,,,,,,,,,,,,
unreg,0,0,4,76,1854,1783,51,8,0,0,0,0,0,0,0,0,0,0,0,0
NagC,0,0,0,0,25,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,1,8,130,122,7,1,0,0,0,0,0,0,0,0,0,0,0,0
Fur,0,2,0,7,34,29,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and Fur,1,0,0,2,17,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"NagC, Fnr, and Fur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NagC_genes,[],[],[],[],"['eutT' 'glmU' 'eutP' 'nagC' 'creC' 'crr' 'umpH' 'ptsH' 'nagA' 'nagB'
 'creD' 'manX' 'manY' 'chiQ' 'nanC' 'ydeN' 'creA' 'manZ' 'glmS' 'creB'
 'dinI' 'chbB' 'chiP' 'eutM' 'eutQ']","['galP' 'fimB' 'chbG' 'chbR' 'ydeM' 'chbC' 'nagE' 'chbF' 'ptsI' 'nanM'
 'nanS' 'ydeP']",['eutD' 'chbA'],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],[],['nfeR'],['ydhY' 'tdcA' 'ccp' 'garD' 'tdcG' 'nikE' 'narI' 'caiF'],"['dmsD' 'puuA' 'yffS' 'nrdD' 'nikR' 'ydhV' 'puuP' 'dpiA' 'dpiB' 'nrfA'
 'nrfB' 'napF' 'hyfE' 'nuoF' 'rplS' 'ssuE' 'hyfA' 'rplV' 'ynfE' 'gadW'
 'ansB' 'fdnG' 'citG' 'citD' 'nikA' 'fixA' 'hyfB' 'caiD' 'ssuD' 'ssuC'
 'pstA' 'aer' 'nuoE' 'ydhX' 'moeB' 'dppD' 'ygbA' 'yecR' 'frdC' 'ycaC'
 'cysG' 'moaA' 'dcuA' 'fumA' 'tdcE' 'glpC' 'ccmH' 'xdhA' 'ubiA' 'nrfG'
 'pdeF' 'ccmG' 'aceF' 'ymjE' 'cydD' 'ydfZ' 'rpsP' 'caiE' 'pstB' 'iraD'
 'dmsA' 'moeA' 'narJ' 'ysgA' 'ybdN' 'pdhR' 'rplM' 'nuoB' 'nrdG' 'mltA'
 'emrK' 'pflB' 'dppB' 'napB' 'frdA' 'ychO' 'rpsC' 'fdnH' 'ccmF' 'frdD'
 'xdhB' 'nuoH' 'focA' 'tar' 'gcvT' 'pykA' 'citC' 'caiB' 'xdhC' 'gadA'
 'trmD' 'nirC' 'nuoC' 'ynfH' 'napA' 'frdB' 'ubiC' 'prfA' 'aceE' 'rpsQ'
 'thrA' 'rplC' 'gadX' 'moaE' 'rpsS' 'poxB' 'hypB' 'gapC' 'nrfF' 'nuoG'
 'rplT' 'rimM' 'iraM' 'dcuR' 'purM' 'hemA' 'dppC' 'cheZ' 'yibN' 'ydeJ'
 'emrY' 'caiC' 'ydhW' 'rplP' 'norW' 'pstC' 'nuoA' 'nuoK' 'hypE' 'scpA']","['gcvH' 'nuoN' 'scpC' 'rpsI' 'adhE' 'glpB' 'ccmE' 'citE' 'ssuB' 'dppA'
 'ssuA' 'nuoL' 'narL' 'prmC' 'ytfE' 'acnA' 'cheY' 'rpmC' 'hyfC' 'hyfR'
 'aroP' 'cheR' 'hypD' 'narH' 'napH' 'tdcC' 'focB' 'norV' 'cydB' 'scpB'
 'rpsJ' 'moaB' 'nrfE' 'nikD' 'pepT' 'acrF' 'ynfF' 'ackA' 'ccmC' 'hypC'
 'napD' 'acrE' 'ydfO' 'nuoJ' 'dcuS' 'purN' 'ompX' 'ccmB' 'cheB' 'tpx'
 'caiT' 'cydC' 'rplD' 'nuoM' 'citX' 'napG' 'cadC' 'uxaC' 'ydhU' 'glpT'
 'nrfC' 'ydhT' 'ccmA' 'rplB' 'hyfJ' 'hyfG' 'nirD' 'narG' 'hyfD' 'msrB'
 'nuoI' 'moaC' 'dppF' 'arcA' 'fdnI' 'pitA' 'nirB' 'rplW' 'uraA' 'aldA'
 'citF' 'ravA' 'tdcF' 'malP' 'dmsC' 'hyfI' 'glpQ' 'pstS' 'tdcB' 'hyfF'
 'argK' 'ung' 'hcp' 'gcvP' 'nrfD' 'nikB' 'ynfG' 'tdcD' 'hyfH' 'yfcZ'
 'fixB' 'phoU' 'yeiL' 'tap' 'caiA' 'narX' 'uxaA' 'napC' 'dmsB' 'glpA'
 'fixC' 'aspA' 'hlyE' 'fhlA' 'viaA' 'narK' 'moaD' 'cydA' 'bcsB' 'hcr'
 'malQ' 'dcuB']",['upp' 'nikC' 'bcsZ' 'ynfK' 'ccmD' 'dcuC' 'fdhF'],['ortT'],[],[],[],[],[],[],[],[],[],[],[],[]
