,yjdI
Cr_1,0.001932131018044814
Cr_2,0.01221363237742521
Cr_3,0.029124268086894164
Cr_4,0.03665730092594365
Cr_5,0.048755766084048816
Cr_6,0.06245149566714792
Fe_1,-0.0161109842889734
Fe_2,-0.032107425199562584
Fe_3,-0.050998370017506914
Fe_4,-0.07789456374144797
Fe_5,-0.10412344440876277
Fe_6,-0.12918454723307185
Cd_1,0.008485836254290065
Cd_2,0.04141323145538446
Cd_3,0.029141285329189418
Cd_4,0.030836047732431225
Cd_5,0.02900087921793915
Cd_6,0.02139241401677323
Zn_1,-0.0017317411297042805
Zn_2,-0.010897251174642152
Zn_3,-0.003984432346809365
Zn_4,0.011394752204690745
Zn_5,0.037109114734525016
Zn_6,0.05786869175070354
Cu_1,0.007444962578555174
Cu_2,0.015094915665141685
Cu_3,0.017771908559792722
Cu_4,0.015754963416195696
Cu_5,0.014113186427462628
Cu_6,0.020253534425778288
Pb_1,0.011911267646405984
Pb_2,0.023453802659110783
Pb_3,0.04274768052621882
Pb_4,0.06614901907090279
Pb_5,0.08660852127383603
Pb_6,0.10577230869925568
