,rihC
Cr_1,-0.0013641238666742405
Cr_2,0.007186933498947794
Cr_3,0.014602043469626732
Cr_4,0.0161263761955869
Cr_5,0.01992782612643149
Cr_6,0.02470938504283467
Fe_1,-0.001183946684658743
Fe_2,-0.00574092889391916
Fe_3,-0.005601503546201721
Fe_4,-0.008446430901170376
Fe_5,-0.01133190094704107
Fe_6,-0.003920490679616731
Cd_1,0.024349460964596385
Cd_2,0.030222669827486774
Cd_3,0.03766768175720943
Cd_4,0.05853615265442633
Cd_5,0.0812365647820451
Cd_6,0.13302601740160475
Zn_1,-0.0012106022583739295
Zn_2,0.0027381301360393344
Zn_3,0.0222026369662071
Zn_4,0.0413354278871548
Zn_5,0.06521689791436804
Zn_6,0.08733434967114162
Cu_1,0.0007459952445590767
Cu_2,0.006585722165167309
Cu_3,0.01822080744287745
Cu_4,0.029148404177829657
Cu_5,0.040553066918643306
Cu_6,0.047602417426857065
Pb_1,-0.007717791754465068
Pb_2,-0.007443339966728526
Pb_3,-0.0025758975849838497
Pb_4,0.0028710607486929283
Pb_5,0.022218061342366764
Pb_6,0.021667498165369385
