,A,CytR,Crp
R2,,0.11395711616048132,0.06576456655712659
xmin,,-2.4104891994999997,-9.852476477
xmid,,0.5613426108951532,0.3891824953272701
xmax,,2.2875481412879406,1.6003325529999994
ystart,,-0.312133577713416,-0.4915608904092912
yend,,8.830385490791478,4.051667574459916
control__wt_glc__1,0.1120447197148543,-0.048199914500000496,0.012478645999999928
control__wt_glc__2,-0.1120447197148611,0.048199914499999615,-0.012478645999999928
fur__wt_dpd__1,-0.6278462888319707,-0.5317742135000003,0.07757413100000042
fur__wt_dpd__2,-0.083631951178835,-0.7163570805000008,-0.0906821709999992
fur__wt_fe__1,0.2669469596084917,-0.2911359144999999,-0.030513672999999738
fur__wt_fe__2,-0.1967360036016122,-0.1393033595000004,0.0581907200000007
fur__delfur_dpd__1,-0.9648665580554626,-0.5405984474999999,-0.10598198399999957
fur__delfur_dpd__2,-0.4077913361674576,-0.3657555065000002,-0.22346684100000047
fur__delfur_fe2__1,-1.4079514969215148,-0.041606524500000575,0.4364299129999996
fur__delfur_fe2__2,-1.47569706428543,-0.16703075950000024,0.36756339300000107
acid__wt_ph5__1,-0.2550667365682511,-0.13214365349999999,0.3455225730000002
acid__wt_ph5__2,-0.2932181317323048,-0.26274085150000026,0.34313646300000045
acid__delgadx_ph5__2,0.4353410037931142,-0.4027238454999997,0.3393877130000007
acid__delgadw_ph5__1,-0.6201866122191065,-0.3605376355000001,0.3838637929999997
acid__delgadw_ph5__2,-0.4163713478035014,-0.3097731345000003,0.3398617829999999
acid__delgade_ph5__1,-0.2030507301282148,-0.21733379249999984,0.432408723
acid__delgade_ph5__2,-0.129240691764417,-0.2792273005000005,0.4824361929999999
oxidative__wt_pq__1,0.3422341550841324,-1.2990506445000003,0.17662370300000066
oxidative__wt_pq__2,0.1238283368071086,-1.2836680884999998,0.24038529300000103
oxidative__deloxyr_pq__1,-0.3941457537512459,-0.9911724115,0.5131550130000004
oxidative__deloxyr_pq__2,-0.4901038176392938,-1.0208139305,0.5363373029999998
oxidative__delsoxr_pq__1,-0.0662821678825449,-1.1504893625,0.3346725330000009
oxidative__delsoxr_pq__2,-0.1879245112704777,-1.1822660225000003,0.3870598730000001
oxidative__delsoxs_pq__1,0.2942030156034765,-1.3043630014999996,0.5134629630000003
oxidative__delsoxs_pq__2,0.6354857325153837,-1.3133777725,0.5104807529999995
nac_ntrc__wt_csn__1,-0.6509292090643952,-0.8511404264999998,-0.0727968299999997
nac_ntrc__wt_csn__2,-0.8591207639049343,-0.9731833255,-0.09324395099999984
nac_ntrc__wt_cytd__1,2.701312783435711,-0.8579417634999986,-0.043119613
nac_ntrc__wt_cytd__2,2.62564577560421,-0.6605318755000003,-0.07348926000000056
