,Value,list
TF,VraR,
reg_genes,42,"['narH' 'guaC' 'narK' 'nirB' 'USA300HOU_RS04305' 'USA300HOU_RS04780'
 'USA300HOU_RS10780' 'spsA' 'USA300HOU_RS13585' 'USA300HOU_RS10800' 'tcaA'
 'narI' 'yabA' 'ywaC' 'yceA' 'murA' 'nasF' 'uppS' 'USA300HOU_RS10810'
 'nirD' 'ba_2302' 'USA300HOU_RS10815' 'crR' 'msrR' 'narJ' 'flP'
 'USA300HOU_RS03530' 'mscS' 'USA300HOU_RS10785' 'recT']"
comp_genes,23,"['mtlA' 'USA300HOU_RS07135' 'USA300HOU_RS10235' 'ba_1500' 'msrA' 'vraE'
 'yvqF' 'glxK' 'vraR' 'vraS' 'USA300HOU_RS11955']"
both_genes,12,"['prsA' 'iraE' 'USA300HOU_RS10295' 'USA300HOU_RS08780' 'USA300HOU_RS12570'
 'drp35' 'USA300HOU_RS03440' 'USA300HOU_RS13180' 'USA300HOU_RS03030'
 'USA300HOU_RS13875' 'mgT' 'brpA']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,22,
comp_ops,12,
both_ops,7,
