,A,VraR
R2,,0.42207879105884927
xmin,,6.6286552838
xmid,,
xmax,,9.6421021305
ystart,,-6.018783854201601
yend,,11.933078246867773
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-0.42745335300000004,7.6161674424
USA300_LAC_U01-Set001_CAMHB_Control_1,0.046350278,7.6446553171
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-1.732776284,7.6798839469
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,1.960932472,8.091855147
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,7.47031074,8.3936387207
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-0.35258484900000003,7.6279673884
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.046350278,7.5907518425
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-2.173890652,7.6053446604
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,2.287071778,7.8834659867
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,6.891619014,8.5824093027
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.898027636,6.829478751
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,-2.108756884,6.9820323722
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,1.00979348,7.0468954318
USA300_LAC_U01-Set001_R10LB_PreCulture_1,0.026582147,8.3240208844
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-0.309764605,8.0296214718
USA300_LAC_U01-Set001_R10LB_Control_1,-1.281065542,8.2556775996
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,0.366809779,8.4789436799
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,2.5735587,8.9494128889
USA300_LAC_U01-Set001_R10LB_Control_2,-2.098269265,8.1743748845
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-1.081901869,8.2259286463
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,1.530695806,8.8408078059
USA300_TCH1516_U01-Set000_R10LB_Control_1,-1.650256926,8.1142210972
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-0.24206887500000002,8.1612854837
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,1.5888319100000001,8.5311465857
USA300_TCH1516_U01-Set000_R10LB_Control_2,-2.736099801,8.3552452102
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-0.6491962,8.119643042
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,0.764837049,8.3440046587
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-2.401304389,7.3940878932
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-1.887516877,7.2781676378
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.898027636,7.1140208588
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-1.256670151,7.06039875
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.985871928,7.1141334879
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,3.416879266,7.6862214642
