,A,Fnr,NsrR,NarP,Fis,flhD,NarL,ihfB
R2,,0.235301092476226,0.09898449039319968,0.06385629179323271,0.03324343905579874,0.028018704178836562,0.027652907352823997,0.00010307526696029523
xmin,,-7.8525940196,-3.3695472206,-3.4636144832999998,-4.8936592304,-7.0720007684,-3.0560450505,-3.9178110457
xmid,,-1.8745733054106641,-0.8071406915304057,-1.8618477739231516,-1.326139154760196,-1.9678107826910811,-0.14080596708131862,0.42053192949751317
xmax,,4.4171410107,5.797296702,2.9757521876,4.361795663,3.5625693591000003,2.4694155805999998,3.3245249795
ystart,,3.7801688010440904,-1.2591862812606003,-2.2007931703928754,0.8855800163997446,-0.878811129318673,-0.36026170454205075,0.03691034273671398
yend,,-10.62504373043813,5.029821882733594,3.390546648991262,-3.036937937828959,1.6720352819374937,3.095962684749834,-1.0026815054538292
SRX1125282,0.7420599693000001,-0.0825740115,-0.2207476343,-0.025949787000000002,0.1452799267,-0.0382576976,0.0834143878,-0.1131958483
SRX1125283,0.6637954534,0.16485310350000001,-0.5463815679,-0.0137519644,0.032152022100000004,-0.2732545799,0.0504933555,0.0772468121
SRX1125284,0.6665076814,0.7752711503,-0.2351401063,0.0609692344,-0.11344229280000001,-0.8198496909,0.031696480900000004,0.0671979825
SRX1125285,-1.1771750565,0.9066270852,-0.5788017455000001,-0.10841500300000001,-0.6030691047,-1.0585565025,-0.0029696078000000002,-0.031233225400000002
SRX1125286,-8.1383318416,0.95171602,-0.9354173704000001,-0.2022767549,-0.7040569003,-1.1270911982,-0.3118176763,0.0201842575
SRX1125287,-11.3038600694,1.0192587317,-0.8477942645000001,0.122656549,-0.3000441569,-1.3640907807,-1.1250431231,-0.1696861744
SRX1125288,-1.2433323706000001,0.1234264677,0.11996087350000001,-0.25349993590000003,-0.1565872788,-0.0877372101,0.0253800388,0.030994294500000002
SRX1125289,-1.016699943,0.4334180231,-0.5137669567,0.11107518100000001,0.0544366627,-0.3183074932,-0.0159687598,0.0539088152
SRX1125290,-1.7586558807000001,0.7979562918,-0.2228296512,-0.056693302200000004,-0.2428967066,-1.5097918652,0.11729304230000001,0.1097352022
SRX1125291,-4.66773009,0.8964971719,-0.3971529525,-0.3977770989,-0.7952871017,-1.6680735503,-0.0645860458,0.2340397233
SRX1125292,-10.9271834128,0.9047534472000001,-0.4851082459,-0.2185532135,-1.2037749275,-1.8356164874,-0.4360385312,0.2579735379
SRX1125293,-11.1860371934,0.9185125141,-0.5183309043000001,-0.0581421639,-0.8523048087,-2.3199326431,-0.7155510694,0.5504911606
SRX1125294,0.5012724012,-0.040852456200000005,0.1007867608,0.27944972300000004,0.011307352100000001,0.1259949077,-0.10879442660000001,0.0822015539
SRX1125295,0.6747486875,0.2208704434,-0.2326454443,0.181212162,0.29622605760000004,0.0340542969,0.004012204,0.4189166854
SRX1125296,1.0364723428,0.7920547098,-0.288216446,0.0720095186,0.0283022157,-0.4242191301,0.1317350897,0.2529822276
SRX1125297,-0.8940250555,0.8818752216,-0.3433618417,-0.12842398730000001,-0.43191519440000004,-0.9449499442,0.0470774695,0.39341672120000004
SRX1125298,-8.3018171162,0.9825066807,-0.8496726533000001,-0.21288096950000002,-1.1986122972,-1.2000456048,-0.5255995358000001,0.2673414086
SRX1125299,-11.3120864292,0.9444446514,-0.2456434827,-0.1782494413,-1.2380068344,-1.7127137974000002,-0.9168248342,0.42329341260000003
SRX5694250,-0.8358703973,0.0403637158,-1.2571186993999999,-0.4338146809,-0.1179993382,-0.9255071151,1.9154446272,2.297485246
SRX5694251,-3.2094171005,0.5459244040000001,0.9077618066,-0.1175039434,0.7771395971,-0.7657864959,-0.7280519322,-1.5657193052
SRX5694252,0.9955679469000001,-0.6791990309,-0.948976938,-1.0752569035,0.1724641512,-2.4365460475000003,1.1947183288,1.171465281
SRX5694253,0.9999954215,0.0078028844000000005,-0.0532087793,-0.1711096228,-0.4379147116,0.0226470931,0.1780909309,0.294111116
SRX5694254,-0.8859804681000001,-1.3129271236,-0.8151296348,0.48338741570000004,1.7759768752,-0.0072364669,1.2955909793,0.9331627303000001
SRX5694255,-3.468304726,0.20689053170000002,-0.6689488431,-1.8476087346,0.1268043401,-4.3584411613,-1.6319055235,-1.5948301920999999
SRX5694256,1.7697362936,-0.045048951000000004,0.3183604848,-0.4523160888,0.08683377910000001,0.7017636168,0.4734941154,-0.6969566792
