,yjiT
Cr_1,0.005613562455391999
Cr_2,0.007481772211949562
Cr_3,0.0038728429631649953
Cr_4,-6.2434211508889984e-06
Cr_5,-0.008132468940050609
Cr_6,-0.016551940721718394
Fe_1,-0.006980892292121961
Fe_2,-0.023282794713791872
Fe_3,-0.04723751132253489
Fe_4,-0.07361962807104634
Fe_5,-0.09325354150382734
Fe_6,-0.10488151065179724
Cd_1,0.008835132792176459
Cd_2,0.015866489768719346
Cd_3,0.0237856467284471
Cd_4,0.031221365835016095
Cd_5,0.03113016959875833
Cd_6,0.0370577225803964
Zn_1,0.000923015790107758
Zn_2,0.0007122846825843307
Zn_3,-0.0001379259013715515
Zn_4,-0.0006628462563907434
Zn_5,-0.0025741408067906715
Zn_6,-0.003461653703120246
Cu_1,0.00869967464364152
Cu_2,0.017341761298930173
Cu_3,0.021187001558714825
Cu_4,0.022759664228976708
Cu_5,0.029120882778960005
Cu_6,0.034263144748388694
Pb_1,0.007190424685243662
Pb_2,0.016923402690981918
Pb_3,0.027452283744400962
Pb_4,0.040248901766090944
Pb_5,0.048914999508290584
Pb_6,0.059964559271166236
