,ftsQ
Cr_1,0.00992764644660404
Cr_2,0.01368002824129952
Cr_3,0.03316296403457022
Cr_4,0.04935861967633586
Cr_5,0.06464201797823109
Cr_6,0.07774363772404262
Fe_1,-0.02941597212229197
Fe_2,-0.03932348627133435
Fe_3,-0.036209181709338366
Fe_4,-0.019336378141715942
Fe_5,-0.002543258731283156
Fe_6,0.03518238843022651
Cd_1,-0.0001057760048347816
Cd_2,-0.0028137567768373945
Cd_3,0.005082146775267429
Cd_4,0.009669052297595878
Cd_5,0.01180947773823996
Cd_6,0.024766934571924252
Zn_1,-0.04343792554341792
Zn_2,-0.13223965829115455
Zn_3,-0.17501583976263932
Zn_4,-0.008070580836740188
Zn_5,-0.002844387100164901
Zn_6,0.016428549840758498
Cu_1,0.007867882159874275
Cu_2,0.021757468039838985
Cu_3,0.03892962399759292
Cu_4,0.06536683562116928
Cu_5,0.0849253951837436
Cu_6,0.10679087012895266
Pb_1,0.006298475890278871
Pb_2,0.013988134942622013
Pb_3,0.02758187440899906
Pb_4,0.036045277578778734
Pb_5,0.04703100648373675
Pb_6,0.056377580979163525
